countryCode,countryName,seriesCode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,goal,sdg,controlOfCorruption,ruleOfLaw,group,instrumental
AGO,Angola,sdg16_cpi,0.1930815314690264,0.1940394472776816,0.195000840448742,0.1959657221356181,0.1969341035253151,0.1979059958382407,0.1988814103285605,0.1998603582841269,0.2008428510266711,0.2018288999118453,0.202818516329394,0.2038117117031035,0.22,0.23,0.19,0.15,0.18,0.19,0.19,0.26,0.27,0.213944295067435,0.8859999999999999,16,0.2431664584430113,0.249061241332571,Africa,1
ALB,Albania,sdg16_cpi,0.2902048790648006,0.2938840983030957,0.2975919782180618,0.3013287093100221,0.3050944832483271,0.3088894928783023,0.3127139322280108,0.3165679965151931,0.3204518821542681,0.3243657867633374,0.3283099091711161,0.3322844494241117,0.33,0.31,0.33,0.36,0.39,0.38,0.36,0.35,0.36,0.3712594356303036,0.8859999999999999,16,0.3637662906434272,0.39502096821172294,E. Europe & C. Asia,1
ARE,United Arab Emirates,sdg16_cpi,0.665067238859578,0.6669336587319705,0.6688052444316988,0.6706820100989148,0.6725639699122326,0.674451138088699,0.6763435288839688,0.678241156592172,0.6801440355466006,0.6820521801189479,0.6839656047202318,0.6858843238004155,0.68,0.69,0.7,0.7,0.66,0.71,0.7,0.71,0.71,0.7051538856511108,0.8859999999999999,16,0.6733135350904699,0.6326653323249586,MENA,1
ARG,Argentina,sdg16_cpi,0.3527126873419206,0.3539270744999996,0.354839937677923,0.3554301334224163,0.3556754537848192,0.3555525791750682,0.3550370292668034,0.3541031118748492,0.3527238697265602,0.3508710250419398,0.3485149218378893,0.3456244658651073,0.35,0.34,0.34,0.32,0.36,0.39,0.4,0.45,0.42,0.445755300810795,0.8859999999999999,16,0.4390144020648129,0.4164745225813552,LAC,1
ARM,Armenia,sdg16_cpi,0.1660011590759875,0.1762808169542129,0.1871969468663401,0.1987889485664666,0.2110986602860691,0.2241705096210928,0.2380516737537199,0.2527922495859549,0.268445434398,0.2850677176826437,0.302719084846597,0.3214632335127838,0.34,0.36,0.37,0.35,0.33,0.35,0.35,0.42,0.49,0.5519966187446848,0.8859999999999999,16,0.3872202136337789,0.44172789603044554,E. Europe & C. Asia,1
AUS,Australia,sdg16_cpi,0.99987624237436,0.9914418184228874,0.9822564609504948,0.9722910733475248,0.9615156391484628,0.9498991955738224,0.9374098063502372,0.9240145337918948,0.9096794101240084,0.8943694080257159,0.878048410375325,0.8606791791745901,0.85,0.81,0.8,0.79,0.79,0.77,0.77,0.77,0.77,0.7677156309460891,0.8859999999999999,16,0.8792184457366784,0.8565317671718542,West,1
AUT,Austria,sdg16_cpi,0.5092911006689675,0.5222239941926148,0.5354754372147497,0.5490531046286691,0.5629648531767657,0.57721872570297,0.5918229555036874,0.6067859707797183,0.622116399191043,0.6378230725167597,0.6539150314229545,0.6704015303408752,0.69,0.69,0.72,0.76,0.75,0.75,0.76,0.77,0.76,0.7662930364164993,0.8859999999999999,16,0.8435153166803714,0.8747031915834911,West,1
AZE,Azerbaijan,sdg16_cpi,0.2877650821096225,0.2877651879045118,0.2877652936166868,0.2877653992462612,0.2877655047930858,0.2877656102572885,0.2877657156388693,0.2877658209376719,0.2877659261538312,0.2877660312872905,0.2877661363380994,0.2877662413061799,0.27,0.28,0.29,0.29,0.3,0.31,0.25,0.3,0.3,0.2877672863012535,0.8859999999999999,16,0.27834785587629185,0.344347967451211,E. Europe & C. Asia,1
BDI,Burundi,sdg16_cpi,0.1977753534847508,0.1977752041204183,0.1977750546914549,0.1977749051981376,0.1977747556401823,0.1977746060177878,0.1977744563308974,0.1977743065794186,0.1977741567634865,0.1977740068829589,0.1977738569379568,0.1977737069284018,0.19,0.21,0.2,0.21,0.2,0.22,0.17,0.19,0.19,0.1977722033605147,0.8859999999999999,16,0.2784554868442488,0.2639600184707203,Africa,1
BEL,Belgium,sdg16_cpi,0.7566603327379937,0.7566603362678634,0.7566603395708924,0.7566603426470095,0.7566603454962504,0.7566603481185936,0.756660350514025,0.756660352682573,0.7566603546241097,0.756660356338898,0.7566603578265969,0.7566603590873555,0.75,0.75,0.76,0.77,0.77,0.75,0.75,0.75,0.76,0.7566603590624794,0.8859999999999999,16,0.7907007630485722,0.778966601221708,West,1
