alpha,alpha_prime,beta,T,error_alpha,error_beta,GoF_alpha,GoF_beta,years
0.0002421945836522368,1.6136414327848776e-07,0.9577403640106303,84.0,0.0003723519359982719,0.013437019517418047,0.946113387663909,0.9814661799759751,21.0
0.00048697902787562505,2.187354478437507e-06,0.2709892025929651,,0.0001422154534118647,-0.006056881774532008,0.9947145891853024,0.9910928209198059,
0.0013561853438313304,1.7104692208232253e-06,0.2737035280919354,,-0.0008250209808252362,0.0023525441742854314,0.9875129507882329,0.9960126369927366,
0.0022006096967842814,0.001317655255514782,0.024796410978133555,,-0.0015456887772012928,-7.325818571681658e-05,0.983616092921981,0.9985348362856636,
0.0010512949843640468,5.731553856806025e-06,0.18367692159552035,,0.0006925399503147078,0.004308181470867423,0.9851040558058681,0.992095079869968,
0.0009774525648386574,4.047183720037152e-05,0.5576433465240606,,0.00030546299712341796,0.005590123875086284,0.9948043626659413,0.9941156590788566,
2.791554627083309e-05,0.00043069679326914606,0.14709116090189744,,-7.605446354774781e-05,-0.0013594203252162984,0.996750927940588,0.9957518114836991,
0.00266559112579113,3.1320126550391834e-06,0.13820835422525854,,-1.5361891304244146e-05,-0.0008846933098171084,0.9998322057997929,0.9978422114394705,
0.00013688290422780134,1.0400193075721522e-06,0.33788818960586064,,8.757788984248283e-05,0.005246019093670062,0.9896295627217983,0.9931869881900389,
0.0001452989538863976,4.866462217389845e-07,0.2597811285186032,,-6.405348313043291e-05,0.0020509851176881977,0.9909391446170145,0.9965237540378166,
0.0018236143916833395,6.6883873888544e-05,0.2713715944037374,,-0.0023873504604434714,-0.0020304560564773366,0.9799150521324412,0.997862677835287,
8.855276741993694e-05,9.168311108811433e-08,0.11461114092433693,,-2.5234776331317654e-05,5.490745253983187e-05,0.9892126295372821,0.999828414210813,
7.295411551852533e-05,9.276529411954939e-08,0.298415800901835,,0.0001682858354907779,0.004998243945745107,0.9484126045164479,0.9908289101912934,
0.00265569115257741,7.228452544349114e-05,0.2945237830702391,,0.002728795138021045,0.008978564512071685,0.9842197543414513,0.9900789342408047,
0.00044985451650886147,6.630529524822691e-07,0.1881884331491725,,-0.0005722431621435486,-0.00450027198327918,0.9720698783909151,0.9917426202141666,
0.00016949612283139845,2.69979521685703e-07,0.2284474715762591,,0.0002261946417018157,0.001168978839227619,0.9557383594251521,0.9967973182486914,
0.001681938953394856,1.5410651461679069e-06,0.12428337100477048,,0.00039515462610406615,-0.0009808860310285272,0.9942963945105988,0.998038227937943,
