alpha,alpha_prime,beta,T,error_alpha,error_beta,GoF_alpha,GoF_beta,years
0.0003275257903525565,1.0263539023664607e-05,0.2183193993757224,84.0,0.0006239851246232497,0.004286601145730207,0.9698281376646082,0.9947403666923555,21.0
0.0001234143720872557,0.0005664144921058916,0.050269000683189576,,-0.00010987995203787237,-0.00033643202337627076,0.9969627044574723,0.9981814485222904,
0.00015190871622699904,7.659563873422162e-07,0.17973004455428657,,0.0002686539903759,0.00793525628214009,0.9719991623097078,0.990263489224368,
0.0009564901310414458,3.1792436981138386e-06,0.12104840711198743,,0.0019392162056211387,0.0066118849589811846,0.9502088116813827,0.9867762300820376,
0.001519381764389995,0.0006733591916454529,0.013828296518266416,,0.0006951017216396682,4.1716520153979586e-05,0.9852382203540514,0.9991656695969204,
0.0027584687238434115,3.58480188964346e-05,0.15446844707860494,,-0.00032753621737013905,-0.011002320669036614,0.9981612087695066,0.9872066038732132,
0.001566791814430759,4.2703825287427394e-05,0.15837152183459746,,0.00041665922149269896,0.012450607321997764,0.9958832713588712,0.9868940975557918,
1.4289961529832961e-05,0.0012728365640758753,0.10168186339653096,,-0.001795964365288727,0.004534160101626494,0.9733235248864107,0.9875776435571877,
0.0005033066451532583,3.4269285736173833e-07,0.07102726308917551,,4.220069021021455e-05,0.001126725333739531,0.9962866478863486,0.9959028169682199,
0.0002622405073017071,7.338086470539277e-06,0.23114130907275,,0.00034392815944184196,0.01640293912550861,0.9797720847998667,0.9809268149703388,
5.261555091978726e-06,7.368457483637529e-05,0.08414865272129794,,-4.2157034114143066e-05,-0.006691804412592706,0.9894228623311812,0.9790881112106478,
0.0014990264642282625,2.7423168286474e-05,0.32179010843120964,,0.002438119371166003,0.01082544631957194,0.9757618389452782,0.988604793347819,
1.9002930430765022e-06,0.004258733846290292,0.11574872503849583,,0.00032856168445725975,-0.0006898184866006019,0.9984389922931914,0.99831751588634,
0.00016938849900478947,1.4177213449561343e-06,0.17972714704618845,,-1.5709908897099112e-05,-0.004087601411700614,0.9983506328697569,0.9939888214533814,
0.0010804973898897734,3.3696442126385006e-05,0.1981612676123389,,0.0011053106778656785,0.011264925207361443,0.9844772670519438,0.9875525688316448,
0.005633990795917161,3.446725154840729e-06,0.17679047768299705,,0.0022517350157487126,-0.0005556538835601588,0.9923310765296428,0.9991249545140785,
0.0030163397832121282,2.3139876707780715e-06,0.12538735967043843,,-0.0012380804893717956,0.000892467736246294,0.9890737115980799,0.9980385324478104,
0.0005675506911034334,1.0566501331806713e-05,0.21236691995882084,,0.0005065454116809365,0.0004335174003614606,0.9853198551867176,0.9994369903891409,
0.0041491078722136095,1.17335724676748e-05,0.15104454683549615,,0.0013411218913081946,-0.0037846771295070303,0.9928489103883658,0.9930556382944825,
0.0005645905061411894,2.7129880053801708e-05,0.22664972829503982,,0.0002444756904125267,0.0019921508838496305,0.9936198023125105,0.997902999069632,
0.00015929287793710697,0.0009865330943760705,0.05560574894303644,,5.2241957540721806e-05,-0.0013063394096734515,0.9991348134722694,0.9943202634362024,
5.589733464051919e-09,3.080175603341901e-08,0.0612861684351077,,1.8255851164106218e-08,0.0012413932139362926,0.9894838317163942,0.9954858428584135,
4.455251920416646e-06,0.00016799900782469567,0.09608718851486968,,0.00011813906667768048,-9.544842754827254e-05,0.9864654171679493,0.9997384974587719,
5.17605960477763e-05,0.0005602670660460461,0.08739883343236582,,0.00018357579513272881,0.0037099770059090265,0.9944271415333775,0.9865091745239671,
0.0036638226597383574,2.116455349843084e-05,0.19080726924388444,,0.002942489029249651,0.011724787089641642,0.9852684662343157,0.9827576660446447,
0.0007208366862362748,6.702833277813814e-06,0.19609833536058754,,0.0007302122971849512,0.007027554237256317,0.9825633114260861,0.9903068217417155,
