step,AGU,BCN,BCS,CAM,COA,COL,CHP,CHH,CMX,DUR,GUA,GRO,HID,JAL,MEX,MIC,MOR,NAY,NLE,OAX,PUE,QUE,ROO,SLP,SIN,SON,TAB,TAM,TLA,VER,YUC,ZAC,fitness
0,0.020424096466792545,0.040273005407988144,0.03282835381963253,0.035299537548627406,0.014016100309863565,0.03576241734399284,0.03707934272139702,0.010868795415849038,0.03791926548272065,0.04004433655007714,0.032619699581339416,0.02462207510965183,0.023847289790019804,0.03163162195473863,0.02045279521490002,0.04166293246022263,0.026759979481734645,0.04401664138540262,0.026387149001100767,0.028867119786056744,0.04306542289300009,0.04112525952641413,0.038830563474116384,0.03285965220288727,0.02595269135059296,0.025079077356869903,0.03218725595004121,0.035734733390090236,0.027438144202451897,0.016840272057399856,0.03452391379723857,0.04098045896678958,0.45988269413092997
1,0.020424096466792545,0.040273005407988144,0.03282835381963253,0.035299537548627406,0.014016100309863565,0.03576241734399284,0.03707934272139702,0.010868795415849038,0.03791926548272065,0.04004433655007714,0.032619699581339416,0.02462207510965183,0.023847289790019804,0.03163162195473863,0.02045279521490002,0.04166293246022263,0.026759979481734645,0.04401664138540262,0.026387149001100767,0.028867119786056744,0.04306542289300009,0.04112525952641413,0.038830563474116384,0.03285965220288727,0.02595269135059296,0.025079077356869903,0.03218725595004121,0.035734733390090236,0.027438144202451897,0.016840272057399856,0.03452391379723857,0.04098045896678958,0.45988867882754036
3,0.04164703536898083,0.010723194011616137,0.04647629802730455,0.04297885445684706,0.04881105365241742,0.03932292943778303,0.038715699091358836,0.025065467003367217,0.016354228563807405,0.01654351115027559,0.03248336401621327,0.01665463499422159,0.039640535977111646,0.041612939522599486,0.037162150765910895,0.03626924186583054,0.029203211347333894,0.029888457900055506,0.029563610931196704,0.024858949395604246,0.029742398944447367,0.04520623380614776,0.03296551034019983,0.04759933692584674,0.030641555782642774,0.0330235545658337,0.022368415282083512,0.032974221717736,0.01279816627497957,0.021445719221266094,0.027160705986823883,0.02009881367215706,0.45991897150672817
9,0.022670015850891526,0.00895213190352197,0.0486281887281112,0.03309965785580497,0.024357333967941104,0.04483362320791004,0.012640685593869709,0.04195505239066218,0.02835966461924186,0.046657558283220164,0.029312661059546226,0.013793442640202753,0.036122322287387584,0.050771710412371385,0.03114971940346559,0.0006573457202330678,0.020861181460955548,0.030843413549316908,0.039625739519996026,0.02486402764400458,0.029087439801849056,0.049099990921228,0.01659586803875845,0.043987520705954866,0.025672520724586742,0.01789746358667798,0.015716208106394056,0.031391527045469526,0.05031795280513035,0.04402999519404354,0.04442639648206466,0.041621640489188476,0.4599273891612674
13,0.0230878730202048,0.00913588659699455,0.04992958340925357,0.04292833150777043,0.02646539872302719,0.04572343148395296,0.010863174545589414,0.04303534543192521,0.028074361986413776,0.04767532796235605,0.029849827303105238,0.013008738146451574,0.035432346712205666,0.04232679177024811,0.03179559481356894,0.0006798315860265306,0.023768944573853427,0.03256617415470616,0.027004568304883566,0.02099604806310975,0.03108311604795823,0.052811640060280156,0.016680700439596647,0.04555822995563257,0.02933676258756617,0.032861787509460866,0.014252497518783155,0.03279430311572895,0.051232396749621184,0.046098438916157086,0.04515242164018641,0.017790125363381763,0.459937490882134
16,0.02061542651719062,0.010418528868964614,0.043051312676015994,0.02917796236896089,0.0436577350939817,0.040817440144306716,0.009705003186258084,0.03900317961549943,0.008354382681539997,0.045459491614206864,0.02735973895699405,0.012193769107090004,0.034229125108501145,0.021802564436533823,0.02585302308614327,0.02579604205220799,0.034918585182398966,0.029074717194192082,0.04141037696777378,0.03969860324401889,0.02743598561719563,0.047143596686021284,0.04069366787584425,0.013982924705772346,0.02619249908627952,0.029338549210118556,0.033545785424980615,0.04644325981732853,0.03448158684104187,0.044033476649667155,0.04126460856940037,0.03284705141357096,0.4599614395297834
22,0.025762281535470503,0.012380361008727796,0.05087472775191574,0.042917281852535454,0.052691370614046974,0.047066490804361774,0.04013939418654395,0.043985413485237886,0.00725269145415357,0.013735243327122242,0.031055021900867147,0.013450050426535267,0.038414136488682186,0.04050652710099874,0.03353578857588392,0.003138127113278862,0.022938126092544125,0.031825693848680565,0.03070843496127996,0.025236595170639236,0.027869371567587935,0.05333870001953509,0.04787833344324885,0.01323423497913569,0.029551240912885978,0.014139062258938212,0.03985106976516567,0.035421258031075833,0.041139409952018605,0.02243679280258719,0.04653434098767617,0.02099242758063886,0.4599668121623227
41,0.025719035003318184,0.012228308444589912,0.04996827175085145,0.04227096361547879,0.017825305745076746,0.04590808316823378,0.021296022496762317,0.043114053836802675,0.008519008045097745,0.046318924425981116,0.030768139232039277,0.014358547900007262,0.0385843748598469,0.04061926977430825,0.032980108495645574,0.0002568288234233977,0.02207931960628918,0.03324673707679897,0.030009326663292195,0.033036046341939206,0.028302442277877572,0.052796866842785145,0.029643952720614486,0.04804155067007762,0.02884661114413785,0.014593340421419323,0.042821679456207094,0.03622062929607019,0.040148115881569406,0.02263619825973435,0.05010217664025055,0.016739761083473338,0.45997049620288
42,0.022912558630513835,0.010602236057177448,0.05219977515714031,0.04372783711892275,0.032235615651230114,0.037742084517187996,0.014280211526757928,0.04502213591404391,0.007795915853467881,0.054692493893497424,0.03217032372549959,0.014839027341857545,0.03764443975256196,0.04119797663726961,0.03425255912455845,0.0002966968945298765,0.022888544210911452,0.035181566625852506,0.029866492248686427,0.03163958560197755,0.03213659975557859,0.05456979409982462,0.05157406481978072,0.01015454767166798,0.029548259076072336,0.014328642160989688,0.04049563270516876,0.03603223465368279,0.03896993290740458,0.02226265385862365,0.05125916146025252,0.01748040034730916,0.45997077009368603
43,0.022168665750145696,0.012162883509003027,0.05074670082986178,0.04181379610234077,0.020388098137476718,0.039040796776845174,0.01594172068595809,0.044285778015784795,0.006770461724870347,0.05471985563667384,0.03195482084274337,0.014134687848996174,0.038112687728175915,0.0409270795122387,0.0327895812699108,0.00021316406094184514,0.022570205352117716,0.030889361875606453,0.029516771260308897,0.03075792197215764,0.031505459239013246,0.053719671641452534,0.03036713876106198,0.05185455971625198,0.029362252887635283,0.014386146415664573,0.04108647098264818,0.03688292892618997,0.04121698313283769,0.02234830056751644,0.05013556939143327,0.01722947944613708,0.45997269206410407
