impact,programId
-0.050604158620413495,16K007
0.042426253766399365,20S174
-0.10196714861371525,19T003
-0.10095549837943463,20S065
-0.04519819784680945,15E003
0.01585488121316082,19T002
-0.03888515270560498,9S071
-0.14066200272629006,20S057
-0.08614364581965896,20S053
0.015087772368865614,19J008
-0.03760793849586025,16S071
-0.009780876525297948,15E001
-0.08854688439930358,9G001
-0.018967853432270185,19T005
-0.012026387141264522,20S052
-0.005710537158892646,16S074
0.07100154061065914,11U006
-0.03724443597012393,52J002
-0.13032313166736145,50M001
-0.09066452018542305,50E007
0.05134127447895125,11E007
-0.11870526332525282,11E047
-0.03078831998806426,50E006
0.048083198329498054,50K012
-0.000288015463510643,52E013
-0.07068950399492381,50J001
-0.1388225255231706,11E003
-0.02463813628755656,12S072
0.013223488879635979,11E005
-0.05076844087943497,50J002
-0.0011372166621817657,53J001
0.005132145935679335,11E009
-0.038850438192235756,11S072
-0.11341131664633652,50E004
-0.061339634093605426,12S200
-0.03743186331261544,12E022
-0.05457151419155386,12S202
-0.0642967812012479,50E003
-0.022502494755168113,11K027
-0.007926117593070875,12E023
-0.06043736114425617,12E010
-0.08430617051186938,51J019
-0.011037593496979818,6G003
-0.06089905525594596,6F017
-0.05143966358539378,51J027
-0.0674875195905691,11E016
-0.011154107259668523,11K009
-0.08935008014575649,51J026
0.02940372393028469,51E018
-0.1410122703302029,11G001
-0.0206592641792937,51M002
-0.12306574777037231,51K011
-0.03855191727228603,50J004
-0.1684638909444423,12K025
0.045647794138078235,50J003
-0.020448605833024967,51J028
0.007629088331764386,19J006
-0.1348374275476809,19J014
-0.02524003758081159,8U013
-0.006913242568193815,19J012
-0.023346648682390957,16U008
-0.095169764442024,31E002
0.011789721598097533,19J009
-0.06314916270016782,19J011
-0.07479680634322664,50E001
0.00529149914729374,19J021
-0.06564309131300203,25U001
0.03896140709037368,19S038
-0.043573576075778574,20S072
-0.03741131048210814,19T001
-0.09358842356608875,31E001
