countryCode,group,exp_B,corr_B,spline_B,exp_brl,corr_brl,spline_brl
AGO,Africa,0.0,0.5267491412399997,0.5264889494601791,0.0005,,
AGO,Africa,0.01010101,0.5254562531799991,0.5263661863811242,0.0015,,
AGO,Africa,0.02020202,0.5263789136599996,0.5262439830445699,0.0025,,
AGO,Africa,0.03030303,0.5256321455100007,0.5261223342158656,0.0035,,
AGO,Africa,0.04040404,0.5259242525699999,0.5260012346603598,0.0045000000000000005,,
AGO,Africa,0.05050505,0.5256143759200002,0.5258806791434012,0.0055,,
AGO,Africa,0.06060606,0.5262984891399989,0.5257606624303388,0.006500000000000001,,
AGO,Africa,0.07070707,0.5256710049700006,0.5256411792865212,0.0075,,
AGO,Africa,0.08080808,0.5255954709900001,0.5255222244772971,0.0085,,
AGO,Africa,0.09090909,0.524584255880001,0.5254037927680156,0.009500000000000001,,
AGO,Africa,0.1010101,0.5248753687199996,0.5252858789240252,0.010499999999999999,,
AGO,Africa,0.11111111,0.5264816667499994,0.5251684777106748,0.0115,,
AGO,Africa,0.12121212,0.5258123352399994,0.5250515838933129,0.0125,0.53694801,0.5292912442126483
AGO,Africa,0.13131313,0.5248459084099998,0.5249351922372885,0.013500000000000002,,
AGO,Africa,0.14141414,0.5245143341599998,0.5248192975079506,0.014499999999999999,0.540441855,0.5287677024840591
AGO,Africa,0.15151515,0.5260832565099993,0.5247038944706476,0.0155,0.5210209207692308,0.5285402470895453
AGO,Africa,0.16161616,0.5256355673200005,0.5245889778907284,0.0165,0.5268936839393941,0.5283349602583003
AGO,Africa,0.17171717,0.5244760079400003,0.5244745425335421,0.0175,0.5248841568421053,0.5281513106778852
AGO,Africa,0.18181818,0.5247992813299996,0.5243605831644368,0.018500000000000003,0.5265045844247788,0.5279887670358612
AGO,Africa,0.19191919,0.52311559894,0.5242470945487618,0.0195,0.5254144788586959,0.5278467980197894
AGO,Africa,0.2020202,0.5244021573000005,0.5241340714518657,0.0205,0.52837812996139,0.5277248723172309
AGO,Africa,0.21212121,0.5230076310800004,0.5240215086390974,0.0215,0.5279159353535352,0.5276224586157473
AGO,Africa,0.22222222,0.5241702536700003,0.5239094008758055,0.0225,0.526065061733871,0.5275390256028988
AGO,Africa,0.23232323,0.5236755270500004,0.5237977429273388,0.0235,0.5259319798892405,0.5274740419662474
AGO,Africa,0.24242424,0.5229617426199997,0.5236865295590462,0.0245,0.5264344812499998,0.527426976393354
AGO,Africa,0.25252525,0.5226806063499992,0.5235757555362766,0.025500000000000002,0.5252316910853658,0.5273972975717797
AGO,Africa,0.26262626,0.5246876023,0.5234654156243781,0.026500000000000003,0.5274560231287604,0.5273844741890856
AGO,Africa,0.27272727,0.5232647500400008,0.5233555045887001,0.0275,0.5257047742165895,0.527387974932833
AGO,Africa,0.28282828,0.5226247551200001,0.5232460171945915,0.0285,0.5255049694279434,0.5274072684905828
AGO,Africa,0.29292929,0.5234595071599996,0.5231369482074005,0.0295,0.5251177518140064,0.5274418235498965
AGO,Africa,0.3030303,0.5230568383899998,0.5230282923924764,0.0305,0.5261143951931815,0.5274911087983353
AGO,Africa,0.31313131,0.5217675322499999,0.5229200445151677,0.0315,0.5272467426713947,0.52755459292346
AGO,Africa,0.32323232,0.52260795938,0.522812199340823,0.0325,0.5268597786696235,0.5276317446128318
AGO,Africa,0.33333333,0.5225771398500002,0.5227047516347915,0.0335,0.5271695173072494,0.5277220325540118
AGO,Africa,0.34343434,0.5231574087299997,0.5225976961624218,0.0345,0.526602674844869,0.5278249254345617
AGO,Africa,0.35353535,0.5232541552500003,0.5224910276890626,0.035500000000000004,0.5275622844332497,0.5279398919420422
AGO,Africa,0.36363636,0.5229204575699996,0.5223847409800627,0.036500000000000005,0.5291976083078738,0.5280664007640142
AGO,Africa,0.37373737,0.5225269932100001,0.522278830800771,0.0375,0.5276784576811586,0.5282039205880393
AGO,Africa,0.38383838,0.5219380527500003,0.5221732919165359,0.0385,0.5286058173741006,0.5283519201016786
AGO,Africa,0.39393939,0.5226508824099999,0.5220681190927068,0.0395,0.529218885623472,0.5285098679924932
AGO,Africa,0.4040404,0.5219349077599993,0.521963307094632,0.0405,0.5301311743816249,0.5286772329480441
AGO,Africa,0.41414141,0.5220448967700004,0.5218588506876604,0.0415,0.5290622129753089,0.5288534836558928
AGO,Africa,0.42424242,0.52129178599,0.5217547446371407,0.0425,0.528700453201058,0.5290380888035999
AGO,Africa,0.43434343,0.5216730536599999,0.5216509837084218,0.0435,0.5308962233247756,0.5292305170787273
AGO,Africa,0.44444444,0.52161212902,0.5215475626668524,0.0445,0.5299302645018447,0.5294302371688353
AGO,Africa,0.45454545,0.5210715116099994,0.5214444762777813,0.0455,0.5301185121561334,0.5296367177614856
AGO,Africa,0.46464646,0.5207930912399995,0.5213417193065575,0.0465,0.5295753513990269,0.5298494275442395
AGO,Africa,0.47474747,0.5211688029099997,0.5212392865185292,0.0475,0.5311447911499999,0.5300678352046575
AGO,Africa,0.48484848,0.5215951442999994,0.5211371726790459,0.0485,0.5327373812342574,0.5302914094303013
AGO,Africa,0.49494949,0.5193939439900003,0.5210353725534558,0.0495,0.5311350733966743,0.530519618908732
AGO,Africa,0.50505051,0.52118165072,0.5209338808067822,0.0505,0.5330473140076339,0.5307519323275105
AGO,Africa,0.51515152,0.5205287598800008,0.5208326924053229,0.051500000000000004,0.5319568880551908,0.5309878183741982
AGO,Africa,0.52525253,0.5210955324399991,0.5207318020137981,0.052500000000000005,0.5311964322989956,0.5312267457363561
AGO,Africa,0.53535354,0.5209533462899993,0.5206312043975567,0.0535,0.5318855569170982,0.5314681831015453
AGO,Africa,0.54545455,0.52145070389,0.5205308943219473,0.0545,0.5330981232982915,0.5317115991573272
AGO,Africa,0.55555556,0.5199868335800005,0.520430866552319,0.0555,0.5328613320372672,0.5319564625912627
AGO,Africa,0.56565657,0.5215122610000005,0.52033111585402,0.0565,0.5328138383875339,0.5322022420909132
AGO,Africa,0.57575758,0.5203508681799999,0.5202316369923997,0.0575,0.533986667677903,0.5324484063438397
AGO,Africa,0.58585859,0.5206719890499992,0.5201324247328065,0.0585,0.5337826343371948,0.5326944240376033
AGO,Africa,0.5959596,0.5191447482099999,0.5200334738405893,0.0595,0.5334780207814404,0.5329397638597655
AGO,Africa,0.60606061,0.5216006012800009,0.5199347790810969,0.0605,0.5340546552135675,0.5331838944978868
AGO,Africa,0.61616162,0.519232991,0.519836335219678,0.0615,0.5350496936107559,0.5334262846395289
AGO,Africa,0.62626263,0.5185991866700003,0.5197381370216814,0.0625,0.534238372887828,0.5336664029722528
AGO,Africa,0.63636364,0.5190032314800003,0.5196401792524558,0.0635,0.5331685616806718,0.5339037181836195
AGO,Africa,0.64646465,0.5199554247100002,0.5195424566773501,0.0645,0.5346418079330258,0.5341376989611903
AGO,Africa,0.65656566,0.5202008056399998,0.519444964061713,0.0655,0.5340008301265821,0.5343678139925266
AGO,Africa,0.66666667,0.5186712018899996,0.5193476961708934,0.0665,0.5356148549938793,0.534593531965189
