source,target,weight
10.7,1.2,0.8588658404964501
10.7,11.5,0.19141627113233556
10.7,11.6,0.9565776482262315
10.7,15.1,0.3432427051766895
10.7,16.2,0.16985774943347376
10.7,17.18,0.45607874776097085
10.7,17.19,2.015301595872209
10.7,17.6,1.0960041733841712
10.7,2.1,0.38671033819556644
10.7,2.2,34.607850112043174
10.7,3.1,1.0832013153266766
10.7,3.3,0.5536528232275584
10.7,3.4,0.17888809520188823
10.7,3.8,0.3756081235204795
10.7,3.d,1.6209362265252476
10.7,4.4,0.646756260476779
10.7,4.c,0.13880857222653273
10.7,5.1,0.7998391937567046
10.7,5.3,0.15397290932041768
10.7,5.5,1.1489089430999766
10.7,6.2,0.28519828798361985
10.7,6.4,1.2632582363465852
10.7,7.2,0.6406574967065098
10.7,7.3,2.9522790598441806
10.7,8.1,1.6147811033012391
10.7,8.2,0.17923824095286608
10.7,8.5,0.35084580561390943
10.7,8.7,0.8601091039643071
10.7,9.4,0.3349673642498927
10.7,11.b,0.7698915223404497
11.1,1.2,0.855774827760215
11.1,10.7,0.19777618887981901
11.1,11.5,0.13105869165490247
11.1,11.6,1.004929713754937
11.1,15.1,0.28729159203053767
11.1,16.2,0.3269186762991489
11.1,17.18,0.4494288948061072
11.1,17.19,1.811012596646312
11.1,17.6,1.0849999271871515
11.1,2.1,0.3559330957721482
11.1,2.5,43.50116416990341
11.1,3.1,1.1798474179962217
11.1,3.3,0.5994229447671746
11.1,3.4,0.22472833765274042
11.1,3.8,0.25232064328013576
11.1,3.d,0.19746531281756743
11.1,4.c,0.1608841387041768
11.1,5.1,0.8584616704891601
11.1,5.3,0.12311300008619408
11.1,5.5,0.9048062483468536
11.1,6.2,0.23533638050701547
11.1,6.4,0.5980225673981165
11.1,7.2,0.6452660020792803
11.1,7.3,2.572911443253467
11.1,8.2,0.8784486204103039
11.1,8.4,1.117849422434595
11.1,8.5,0.2410066722067288
11.1,8.7,0.8664249945801479
11.1,9.4,0.24446800779916675
11.1,11.b,0.7318931040855998
11.1,12.2,1.117849422434595
11.5,1.2,0.878151047331492
11.5,1.5,0.6307604074931878
11.5,10.7,0.2765675992651983
11.5,11.6,1.1385314417422643
11.5,15.1,0.35058592572333236
11.5,16.2,0.39539720573724824
11.5,17.18,0.42087088002022505
11.5,17.19,2.375749125003973
11.5,17.3,0.39226894726527384
11.5,17.6,1.2779372452598072
11.5,2.1,0.3860157783367382
11.5,2.5,2.8794204375790744
11.5,3.1,43.15361833833134
11.5,3.3,0.7340318594253628
11.5,3.4,0.2527943341713984
11.5,3.5,6.411060645925485
11.5,3.7,1.3989880816339828
11.5,3.8,0.912576290992534
11.5,4.5,2.9311927763640084
11.5,4.c,0.142462274198952
11.5,5.1,3.5667227165377318
11.5,5.3,0.17721437764368336
11.5,5.5,1.2424358346161815
11.5,6.2,0.28116527670097674
11.5,6.4,0.5716018473563986
11.5,7.3,3.939248161442432
11.5,8.2,0.3253955738779508
11.5,8.4,0.727141649070219
11.5,8.5,0.566018393679491
11.5,8.7,0.7622886628371702
11.5,9.4,1.7874845340524166
11.5,11.b,0.6307604074931878
11.5,12.2,0.727141649070219
11.6,1.2,0.9010519023008557
11.6,1.5,0.08654814988563636
11.6,11.1,0.28718253320977555
11.6,11.5,0.2618272729713021
11.6,15.1,0.31914661836024744
11.6,16.2,0.3723368881430996
11.6,17.18,0.3144734229562329
11.6,17.19,2.8632228707699765
11.6,17.6,0.844920984517684
11.6,2.1,0.28186976166216166
11.6,2.5,0.38645534141314986
11.6,3.1,1.1812618656055711
11.6,3.2,22.041033849404766
11.6,3.3,0.4798404106041373
11.6,3.4,0.32649612931562916
11.6,3.8,0.3377643701881226
11.6,3.d,0.3291782412043549
11.6,4.4,0.16298154799583878
11.6,4.6,1.0215273118467425
11.6,5.1,0.6638670492696244
11.6,5.5,1.2458959880225533
11.6,6.1,0.16795694750935494
11.6,6.2,0.4148295676901986
11.6,6.4,0.45595351348178703
11.6,6.b,0.2665690340634454
11.6,7.2,0.5754499366007435
11.6,8.1,1.6582431423298631
11.6,8.2,0.3535021857050415
11.6,8.4,0.7270645975501198
11.6,8.6,0.4503519276356838
11.6,8.7,7.659196046721678
11.6,9.4,0.2957023569447888
11.6,11.b,0.6853995591534632
11.6,12.2,0.7270645975501198
16.2,1.2,0.8779714436503926
16.2,11.1,0.24713116073056346
16.2,11.5,0.2663662832499304
16.2,11.6,0.9833981900767447
16.2,14.5,1.2558501270196625
16.2,15.1,0.33324729025117267
16.2,17.18,12.209753962164646
16.2,17.19,1.9061734402176613
16.2,17.6,1.1956268806039099
16.2,2.1,0.4294009737151234
16.2,3.1,0.8073684350253109
16.2,3.2,0.09286706508428078
16.2,3.3,0.37229727937324786
16.2,3.a,44.4891822659399
16.2,3.d,0.4520276634179667
16.2,4.2,0.40239613242715566
16.2,4.c,0.37529376750657206
16.2,5.1,0.7246147902539996
16.2,5.3,0.2111237791085435
16.2,5.4,6.810891072842551
16.2,5.5,1.3129342025552968
16.2,6.2,0.3606212448522347
16.2,6.4,0.6005600142153988
16.2,7.2,0.5884886013572609
16.2,7.3,4.658631071767446
16.2,8.1,1.8802070291614272
16.2,8.2,0.8335250528347397
16.2,8.5,0.5435230605532592
16.2,8.7,1.2074580431956867
16.2,9.1,7.469267642874914
16.2,9.4,0.29129992317871517
16.2,9.5,1.5458649409861822
16.2,9.b,0.24192288331946055
16.5,1.2,0.8812142031368024
16.5,10.7,0.3331404692129049
16.5,11.5,0.18371967688838833
16.5,11.6,1.0384243147831165
16.5,15.1,0.27414253204518674
16.5,17.18,0.5196174467363112
16.5,17.19,2.369560848709291
16.5,17.6,1.738012886745626
16.5,2.1,0.26871877699448116
16.5,3.1,1.439374119325594
16.5,3.3,0.5546775710149584
16.5,3.4,0.26928101440814617
16.5,3.6,0.12472742965939455
16.5,3.b,29.088136137429952
16.5,4.2,3.4822987701178505
16.5,4.4,0.4915105796575557
16.5,4.c,0.8388339923497481
16.5,5.1,0.4045273301856524
16.5,5.5,0.9524296083479339
16.5,6.2,0.41530692563340754
16.5,6.4,0.6323950558977797
16.5,6.b,0.8075736410124896
16.5,7.2,0.5673387410398834
16.5,7.3,2.5940098031505263
16.5,8.2,0.6547223903717674
16.5,8.4,0.4383085841005417
16.5,8.5,0.2751849351893399
16.5,8.7,0.7965273363395691
16.5,9.4,0.37651159900869335
16.5,9.b,0.33773005581290977
16.5,11.b,0.551340996300313
16.5,12.2,0.4383085841005417
17.11,1.2,0.7525663426973874
17.11,10.7,0.3181272592832276
17.11,11.5,0.1364398243329436
17.11,11.6,1.1444659831947694
17.11,15.1,0.25905820304959276
17.11,16.2,0.5260691615189032
17.11,17.18,0.32315259896391635
17.11,17.19,2.016061388068467
17.11,17.6,13.77492129415444
17.11,2.1,0.3013031590034808
17.11,3.1,1.1502383693047749
17.11,3.3,0.6125320629557267
17.11,3.4,0.2620108070971257
17.11,3.8,1.3029712851311162
17.11,4.2,66.24372686392948
17.11,4.4,0.15135765484782387
17.11,4.6,0.5012036142570397
17.11,4.c,0.1542571109743174
17.11,5.3,0.1749146955148525
17.11,5.5,0.9925718702288935
17.11,6.2,0.25344426699096084
17.11,6.4,0.5530845876668188
17.11,7.2,0.5103062186001481
17.11,7.3,2.825402807089487
17.11,8.2,0.14095948104921685
17.11,8.5,0.37212386671247494
17.11,8.7,0.6038008489427988
17.11,9.4,0.2988453323028138
17.11,11.b,0.6475439732764867
17.3,1.2,0.6636621354883995
17.3,10.7,0.37039614250627056
17.3,11.5,0.16159138996361244
17.3,11.6,0.9898445789105389
17.3,15.1,0.3277944535272876
17.3,17.18,0.36881834526823204
17.3,17.19,1.660450726194665
17.3,17.6,0.9201145225033212
17.3,2.1,0.26999803043921106
17.3,3.1,0.9599130417404043
17.3,3.2,0.29636641903645
17.3,3.3,0.6944409616494058
17.3,3.4,0.22043639120203676
17.3,3.5,0.2643916155854159
17.3,3.8,0.30782940516589263
17.3,4.4,0.3270847727799733
17.3,4.5,0.6720420932751056
17.3,4.c,29.588868745379877
17.3,5.1,0.6530606956146654
17.3,5.3,0.13251934797713003
17.3,6.2,0.31566147960767615
17.3,6.4,1.696676018510243
17.3,7.2,0.6709686836449213
17.3,7.3,2.7867369446310013
17.3,8.2,0.1660298064169317
17.3,8.4,1.7037009014719304
17.3,8.5,0.31021378155928875
17.3,8.7,1.2015715071854511
17.3,9.4,0.20488969322846207
17.3,9.b,3.9628743301510765
17.3,11.b,0.6430822418803059
17.3,12.2,1.7037009014719304
17.4,1.2,0.85671258865771
17.4,10.2,1.8583277005401146
17.4,10.7,0.3213283736012086
17.4,11.5,0.2589659686114884
17.4,11.6,1.074311935728236
17.4,15.1,0.2971140157082331
17.4,16.2,0.3426223007847317
17.4,16.6,4.210535304121474
17.4,17.18,0.3655466641157616
17.4,17.19,2.108125068288817
17.4,17.6,1.1326837686919524
17.4,2.1,0.36637448020196606
17.4,3.1,1.147907648026493
17.4,3.3,0.66109240132203
17.4,3.4,0.23864602935010978
17.4,3.8,0.16882604180618888
17.4,4.4,0.11638368240095281
17.4,4.c,0.10951297424005373
17.4,5.1,48.57208029853209
