target,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1.1,315.29582427500003,345.70834486666666,416.5729946416667,443.79965009166665,894.54312766225,989.9585922285,1149.208050449,1223.0619047645002,1293.1628963625,1293.3462086885834,1335.7741395772503,1742.7971116229166,760.7518388187502
1.2,344.7600634166667,366.3156513416667,439.77057264166666,474.8378365333333,988.921136165,1153.3686042651666,1352.7389986718333,1444.3681322557504,2299.045467456917,2377.5799980653337,2634.3375350993338,2897.3841408829167,1238.1231782950836
1.3,165.572808875,128.13586444166668,133.57149851666665,134.5023204166667,653.4846921512501,745.6491443465,906.3964348335834,931.2587255075,963.0962565682499,990.6274839927501,1038.458789299,1796.6902168679999,779.7069135955
1.5,80.32577459166667,21.009308275,31.219404375000003,15.476100766666667,427.4586301264167,458.9153641000833,523.2580978941667,512.2488458961666,535.7019462621668,575.5633602413334,638.7153676287501,699.121282752833,215.86895490541667
10.2,147.28555286666668,251.31495950833335,253.32388879166666,277.32984476666667,375.7083267876667,441.80795737316663,625.3486657041667,627.5942912889167,647.8853251748334,581.6074374645001,624.9600585940834,1127.381574542833,555.3995205231665
10.7,18.2725826,24.941517816666668,31.68366808333333,27.818992725,32.285251151916675,30.714116043416634,33.12776956849995,39.12562617775001,44.74663473300005,48.8222521101666,77.20203736050006,59.80982860708335,6.995042936083331
10.b,1.0187923083333332,0.46894111666666666,1.355313975,0.6184661916666667,0.6460109040833334,1.3433700649166673,1.7535454014166665,1.795918441,1.8864436145833334,1.2528468185,1.7871552158333328,1.2706293552499999,0.10926846150000004
11.1,208.80039547500002,34.879000158333334,2.3754506916666664,2.4897234333333333,476.76370896866666,574.8655187828334,654.8014004708332,673.0652544010833,787.9393209955001,741.22275579375,809.6391504017499,910.0383542586663,250.59059358491666
11.5,79.96096115,105.47636924166667,294.87086833333336,389.8333085416667,586.9570158957498,661.6011941033335,688.3826326738335,840.0671725231667,838.3842373095006,868.7639961569167,1100.721270976417,920.1232149394999,262.5996235578333
11.6,4.8150345,10.661426875,18.107969341666667,14.406252008333336,16.101535983083334,18.14929550866666,26.05568366058333,25.220111639333332,23.110437817583335,19.819504998583337,19.83612097125,14.704624303416667,2.405089126166667
11.b,8.742749550000001,27.434252941666664,51.883826933333324,44.86836015833333,108.63130884041666,113.37249537341667,175.09843190991663,168.11337221525,157.96339895183334,70.17947130883333,87.95688274216664,68.41324848891666,32.963543717583335
12.2,1.6517854166666668,13.172594258333334,19.77554023333333,16.5076217,27.466950240166664,42.65995135983333,31.957836133000004,24.623315704166668,57.16457770741667,42.625398205833335,49.07627125616668,42.613335930666665,3.5912565980833335
14.4,1.5437461166666666,1.5930379583333334,1.3051375333333333,1.7550674916666666,1.8876147022499998,2.1637811791666666,2.4050524778333333,3.122900275666667,7.962116500583334,6.78671119875,6.856296849666665,2.247260181333333,0.17626272308333332
14.5,2.4194979416666667,10.515103266666667,10.483329325000001,17.067875058333332,10.097391524749996,9.482489699833334,9.506318420249992,9.66844977891667,8.99756959258333,9.375612448583341,9.81358559816667,8.849404693916672,1.609991247583334
15.1,3.450123783333333,13.656679808333335,14.40739755,29.52840485833334,70.19343819208333,76.25492463058339,68.67706768999999,63.79998315975001,101.26667349183333,70.79430387050002,76.49415489375002,50.04005913333332,6.74642390875
15.6,2.201337608333333,2.5624978166666668,7.1796654,3.2486103,8.974816060333334,20.805230488916663,6.366038771166666,7.479953031583333,12.409003025333334,7.681950384666668,26.926802689833334,18.71159585991667,1.7586209078333332
16.1,249.30432685833333,221.90757538333332,207.22720221666665,265.6973332833333,357.65878514450003,403.83033270450017,466.4362329694167,534.8867507038334,657.1750920949165,578.0749641394166,665.9721440702498,655.2901271145832,122.77360278575
16.2,138.16896475833335,48.855495225,29.46977701666667,24.61090495,88.25267373624999,91.35987926966668,99.70519734599999,114.91809965750002,175.60953683791666,158.7723122605,196.86683074791665,208.97155101974997,60.46856789016666
16.5,18.479170158333332,19.6404015,19.819829041666665,19.393985566666668,20.874837955,24.33503029483332,25.550226391499997,30.114435845250007,42.221955173166656,41.290817559333334,37.643584585750006,34.49972611733333,6.7385791984166685
16.6,529.9255173666668,584.3261874083335,604.7950910083334,698.5117249,780.1301462260831,727.6938620701669,715.3462565028333,1150.0702201422507,1574.6285648769995,1682.8225389005831,1861.2631319796667,1905.1883969136663,308.90125216691666
16.9,0.0,2.551974375,3.5427459166666666,7.751337966666667,7.3496002997500005,1.9638996189166666,1.2398761886666665,1.7242406315000007,2.983617110583334,2.5671145439166665,2.647120134916668,2.3638887036666665,0.23530830166666666
17.1,12.428735508333334,100.89261039166666,99.50756598333334,114.809659075,130.84844559883334,144.23094871450004,145.53511871383338,158.81956383883335,219.85054355533342,179.46291611274998,175.19242727308338,140.7264018184167,29.22231513258333
17.11,4.7358279,15.877008491666668,6.209287675,9.290114725,26.676280616166668,16.751441850583333,28.390731863583333,33.23668018733333,25.677462306333332,40.44099187225,38.40975458058333,41.17963645625,0.004704452333333334
17.17,10.597780716666666,11.3714713,17.83685439166667,12.36128815,13.757355517833336,12.932479770666664,12.485456677000004,15.418507549833333,20.01254697783334,13.388756252416663,34.530403270166666,25.011464235583336,2.630667472083333
17.18,3.220129916666666,3.0314389333333334,8.534979375,3.867076491666667,4.374723711333333,4.401429947333334,3.9593485049166657,6.319883023499999,11.987482657916667,5.703165899833334,25.878362943333336,19.316788041250003,1.77937664625
17.19,2.543692,2.0166735333333334,2.7995156666666667,1.9868506,2.79342441575,3.3506049468333345,4.057468498,5.216523808583332,10.368056603083335,7.355670009333333,10.088230709083332,6.901803296166667,0.9209936863333332
17.2,1.0187923083333332,0.46894111666666666,1.355313975,0.6184661916666667,0.6460109040833334,1.3433700649166673,1.7535454014166665,1.795918441,1.8864436145833334,1.2528468185,1.7871552158333328,1.2706293552499999,0.10926846150000004
