programCode,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
6F017,14.581182357324414,43.63889093531581,56.17947386855322,59.84680621765313,21.602566744099665,21.133872755290778,34.32091865659796,34.75245351661155,30.820690055475904,15.10269794124821,17.768512754018246
6F317,49.3403645424614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6G003,15.240037868891902,16.391607933284725,15.911935135404216,16.930380517203876,16.63108765867396,18.1547097565503,18.83093072465804,19.341606752977583,20.61726514068934,23.846551173693584,23.242228271074254
6S001,32.75242855262643,53.59219670373753,66.6883739472073,76.73649819968934,72.17249531499486,97.81707526474344,123.35638449822468,132.45233152184596,0.0,0.0,0.0
6S172,3.193264281429354,8.682295247441699,5.935084098284762,4.356935736007882,6.03791948939873,7.539174342673322,7.214855651755291,6.507435127919742,0.0,0.0,0.0
6S177,367.0606304532707,357.96025320351555,410.0330271402202,357.5936164196486,503.7946541342116,0.0,0.0,0.0,0.0,0.0,0.0
6S199,3.682116756900105,14.179711866077213,3.511201035410181,10.018693786741872,6.324478015079265,6.19101346867687,6.021051917508765,5.789261640991258,0.0,0.0,0.0
6S301,22.09269958405027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6S499,10.949835141764794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6U001,0.4861326431070984,0.2084889352758086,0.0983140792699681,0.3208528607530028,0.7761631182313391,0.0,0.0,0.0,0.0,0.0,0.0
7K014,2.92859093053464,2.105800074038887,1.6566644965472264,3.0680656764653924,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8E001,29.314271472447437,31.99783387760677,40.25505565405541,33.38229358107612,39.162583100390215,39.43380042045874,44.98805955319541,45.05953371331264,0.0,0.0,0.0
8E002,50.03346248794835,64.76105594285421,66.35802466621608,79.0948466820705,73.65643516827359,67.39080172394803,70.7853730581943,73.13812641085143,0.0,0.0,0.0
8E005,58.06422983138922,58.994674075380175,53.04023425042869,61.98214940222304,66.86785017956015,72.47499055971132,73.74053323870899,7.247736624551178,0.0,0.0,0.0
8E302,5.446867463176505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8K009,1.8415731383726668,0.0,12.523180844732003,0.0,0.8103654293411732,7.381130589343267,2.616389721378761,0.3311536944340426,0.3121577727594528,0.0,0.0
8K026,14.746953536632445,14.916389545690205,16.167218386553067,10.457500738061174,14.633141788964316,21.16856727433846,8.616156216396542,11.335013719227968,0.0,0.0,0.0
8K027,6.042157120322924,5.996166078277127,5.146932498199246,3.855133186008801,0.1602806103760345,0.7128658412395319,0.5000093253168238,0.0,0.6788333481671286,0.0193651764810846,0.411745108467036
8K028,1.394141898935313,2.629593296478568,0.0,0.0,0.0,0.0,0.0,0.0,0.2339346518179626,0.0,0.0
8S161,1045.6057958114388,1215.5543806413282,1061.4978944214108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8S170,665.6147814724283,828.2883701278738,801.9234849048997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8S173,26.113749444320888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8S198,198.7079127537353,237.65349043483704,330.82048337886783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8S210,189.35996026707468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
