programCode,seriesCode
11S156,univ_educ
11S204,lag_educ
11S204,life_expec
11S204,school_atten
11S221,extre_pover
11S221,incom_ineq
11S221,lag_educ
11S221,moder_pover
11S221,pisa_math
11S221,pisa_read
11S221,pisa_science
11S221,school_atten
11S222,lag_educ
11S222,school_atten
11S223,pisa_math
11S223,pisa_read
11S223,pisa_science
11S227,lag_educ
11S227,pisa_math
11S227,pisa_read
11S227,pisa_science
11S227,school_atten
11S235,univ_educ
11S243,univ_educ
11S244,lag_educ
11S244,school_atten
11S245,pisa_math
11S245,pisa_read
11S245,pisa_science
11S246,pisa_math
11S246,pisa_read
11S246,pisa_science
11S247,pisa_math
11S247,pisa_read
11S247,pisa_science
11S267,pisa_math
11S267,pisa_read
11S267,pisa_science
11S269,lag_educ
11S269,life_expec
11S269,school_atten
11S270,pisa_math
11S270,pisa_read
11S270,pisa_science
11S271,lag_educ
11S271,pisa_math
11S271,pisa_read
11S271,pisa_science
11S271,school_atten
11S322,extre_pover
11S322,illiterate
11S322,lag_educ
11S322,moder_pover
11S322,school_atten
11S324,compu_school
11S324,extre_pover
11S324,illiterate
11S324,incom_ineq
11S324,lag_educ
11S324,moder_pover
11S328,univ_educ
11S384,compu_school
11S384,extre_pover
11S384,illiterate
11S384,lag_educ
11S384,moder_pover
11S384,school_atten
11S426,extre_pover
11S426,lag_educ
11S426,moder_pover
11S426,pisa_math
11S426,pisa_read
11S426,pisa_science
11S426,school_atten
11S456,lag_educ
11S456,pisa_math
11S456,pisa_read
11S456,pisa_science
11S456,school_atten
11S456,univ_educ
11S837,lag_educ
11S837,life_expec
11S837,school_atten
11U001,extre_pover
11U001,lag_educ
11U001,moder_pover
11U001,pisa_math
11U001,pisa_read
11U001,pisa_science
11U001,school_atten
11U005,univ_educ
11U006,high_educ
11U006,univ_educ
11U007,univ_educ
11U008,univ_educ
11U009,univ_educ
11U010,univ_educ
11U011,univ_educ
11U012,univ_educ
11U015,extre_pover
11U015,high_educ
11U015,moder_pover
11U015,univ_educ
11U016,extre_pover
11U016,incom_ineq
11U016,lag_educ
11U016,moder_pover
11U016,pisa_math
11U016,pisa_read
11U016,pisa_science
11U016,school_atten
11U017,univ_educ
11U018,high_educ
11U018,univ_educ
11U021,univ_educ
11U023,univ_educ
11U024,high_educ
11U026,high_educ
11U027,univ_educ
11U029,extre_pover
11U029,lack_food
11U029,lag_educ
11U029,moder_pover
11U029,school_atten
11U030,pisa_math
11U030,pisa_read
11U030,pisa_science
11U030,univ_educ
11U031,lag_educ
11U031,school_atten
11U032,extre_pover
11U032,high_educ
11U032,lag_educ
11U032,moder_pover
11U032,univ_educ
11U033,lag_educ
11U033,pisa_math
11U033,pisa_read
11U033,pisa_science
11U033,school_atten
11U035,high_educ
11U036,high_educ
11U038,lag_educ
11U038,school_atten
11U038,univ_educ
11U039,univ_educ
11U040,univ_educ
11U044,univ_educ
11U045,univ_educ
11U046,univ_educ
11U051,univ_educ
11U054,univ_educ
11U055,univ_educ
11U061,lag_educ
11U061,school_atten
11U063,univ_educ
11U065,lag_educ
11U065,school_atten
11U066,univ_educ
11U067,univ_educ
11U068,univ_educ
11U069,high_educ
11U069,univ_educ
11U070,lag_educ
11U070,school_atten
11U072,pisa_math
11U072,pisa_read
11U072,pisa_science
11U073,pisa_math
11U073,pisa_read
11U073,pisa_science
11U074,lag_educ
11U074,school_atten
11U077,lag_educ
11U077,pisa_math
11U077,pisa_read
11U077,pisa_science
11U077,school_atten
11U078,lag_educ
11U078,school_atten
11U079,high_educ
11U079,univ_educ
11U080,lag_educ
11U080,school_atten
11U081,univ_educ
11U082,compu_school
11U082,illiterate
11U082,lag_educ
11U082,pisa_math
11U082,pisa_read
11U082,pisa_science
11U082,school_atten
11U304,high_educ
11U530,pisa_math
11U530,pisa_read
11U530,pisa_science
11U530,univ_educ
11U619,lag_educ
11U619,school_atten
11U800,univ_educ
11U801,univ_educ
11U802,univ_educ
11U803,univ_educ
11U804,univ_educ
11U805,univ_educ
11U806,univ_educ
11U807,univ_educ
11U808,univ_educ
11U809,univ_educ
11U810,univ_educ
11U811,univ_educ
11U812,univ_educ
11U813,univ_educ
11U814,univ_educ
11U815,univ_educ
11U816,univ_educ
11U817,univ_educ
11U818,univ_educ
11U819,univ_educ
11U820,univ_educ
11U821,univ_educ
11U822,univ_educ
11U823,univ_educ
11U824,univ_educ
11U825,univ_educ
11U826,univ_educ
11U827,univ_educ
11U828,univ_educ
11U829,univ_educ
11U830,univ_educ
11U831,univ_educ
11U832,univ_educ
11U833,univ_educ
11U834,univ_educ
11U835,univ_educ
11U836,univ_educ
11U837,univ_educ
11U838,univ_educ
11U839,univ_educ
11U840,univ_educ
11U841,univ_educ
11U842,univ_educ
11U843,univ_educ
11U844,univ_educ
11U845,univ_educ
11U846,univ_educ
11U847,univ_educ
11U848,univ_educ
11U849,univ_educ
11U850,univ_educ
11U851,univ_educ
11U852,univ_educ
11U853,univ_educ
11U854,univ_educ
11U855,univ_educ
11U856,univ_educ
11U857,univ_educ
11U858,univ_educ
11U859,univ_educ
11U860,univ_educ
11U861,univ_educ
11U862,univ_educ
11U863,univ_educ
11U864,univ_educ
11U865,univ_educ
11U866,univ_educ
11U867,univ_educ
11U868,univ_educ
11U869,univ_educ
11U870,univ_educ
11U871,univ_educ
11U872,univ_educ
11U873,univ_educ
11U874,univ_educ
11U875,univ_educ
11U876,univ_educ
11U877,univ_educ
11U878,univ_educ
11U879,univ_educ
11U880,univ_educ
11U881,univ_educ
11U882,univ_educ
11U883,univ_educ
12B001,lack_health
12B301,lack_health
12E008,life_expec
12E008,vacc_child
12E010,lack_health
12E010,univ_educ
12E017,benef_death
12E017,benef_disabl
12E017,insur_disabl
12E019,lack_health
12E020,detec_diabe
12E020,detec_hyper
12E020,lack_health
12E020,life_expec
12E022,detec_diabe
12E022,detec_hyper
12E022,life_expec
12E023,atent_birth
12E023,detec_diabe
12E023,detec_hyper
12E023,lack_health
12E023,life_expec
12E023,mort_infan
12E023,mort_mater
12E023,vacc_child
12E024,benef_disabl
12E024,insur_disabl
12E025,benef_disabl
12E025,insur_disabl
12E025,life_expec
12E026,benef_disabl
12E026,detec_diabe
12E026,detec_hyper
12E026,insur_disabl
12E026,life_expec
12E026,mort_mater
12E028,benef_death
12E028,benef_disabl
12E028,insur_disabl
12E028,life_expec
12E028,vacc_child
12E030,life_expec
12E030,mort_mater
12E031,detec_diabe
12E031,detec_hyper
12E031,life_expec
12E031,vacc_child
12E033,lack_health
12E033,life_expec
12E033,mort_infan
12E033,mort_mater
12E033,vacc_child
12E034,lack_health
12E036,life_expec
12E036,mort_infan
12E036,vacc_child
12E037,lack_health
12E037,lack_secur
12E038,benef_death
12E038,benef_disabl
12E038,insur_disabl
12E038,lack_health
12E038,lack_noact
12E039,life_expec
12E039,vacc_child
12E310,lack_health
12E318,atent_birth
12E318,lack_health
12E318,life_expec
12E318,mort_infan
12E318,mort_mater
12E330,life_expec
12E330,mort_mater
12G002,life_expec
12G002,mort_infan
12G003,life_expec
12G003,mort_infan
12G003,vacc_child
12G004,life_expec
12G004,mort_infan
12G004,vacc_child
12G005,lack_health
12G005,lack_secur
12K011,lack_health
12K025,lack_health
12K025,lack_secur
12K027,lack_health
12K028,lack_health
12K028,lack_secur
12K311,lack_health
12K327,lack_health
12S037,atent_birth
12S037,detec_diabe
12S037,detec_hyper
12S037,extre_pover
12S037,incom_ineq
12S037,lack_food
12S037,lack_health
12S037,life_expec
12S037,moder_pover
12S037,mort_infan
12S037,mort_mater
12S037,vacc_child
12S072,extre_pover
12S072,incom_ineq
12S072,lack_food
12S072,lag_educ
12S072,moder_pover
12S072,school_atten
