group,sdg,statistic
1,1,23.6657466443538
1,2,36.85293776969536
1,3,31.92149690299501
1,4,19.335401398669223
1,5,53.99547178198843
1,6,17.682654715086915
1,8,
1,9,30.47894465556235
1,10,10.820366190258433
1,11,26.720240982532896
1,12,44.295897439736024
1,15,14.65886708055027
1,16,21.803966841986828
2,1,28.08571566040985
2,2,44.59871002313342
2,3,34.49112220976928
2,4,29.2656064432539
2,5,25.722517156856547
2,6,23.45414127557834
2,8,
2,9,32.82001576236439
2,10,8.81068729165502
2,11,40.51243228887552
2,12,41.93890323351066
2,15,22.762979963206693
2,16,26.60318875423243
3,1,35.31203699164016
3,2,54.05670099724299
3,3,44.83663841453955
3,4,42.33623895691577
3,5,31.492338611817072
3,6,23.89535788746789
3,8,
3,9,42.687228983713396
3,10,10.982061333375466
3,11,38.93332786043628
3,12,47.06384295504724
3,15,26.117198608303344
3,16,39.11623702238111
