type,sdg,state,cluster,emp_bud,opt_bud
contribution,16,MIC,3,30686860735.857143,17689457009.025814
contribution,16,MOR,2,12111062145.428572,32893266213.81964
contribution,16,NAY,3,10231420445.928572,12528600815.237917
contribution,16,NLE,1,26771552124.0,22589393551.067192
contribution,16,OAX,3,36777032731.92857,8693600577.761534
contribution,16,PUE,3,37077014497.07143,14476556596.030506
contribution,16,QUE,2,12092164282.214285,32708983808.053967
contribution,16,ROO,2,10153184225.0,25489228678.613945
contribution,16,SIN,1,21276561968.42857,23659584941.000874
contribution,16,SLP,3,19290563216.857143,22842414362.458412
contribution,16,SON,1,18298585741.285713,14412958009.537666
contribution,16,TAB,2,18836130125.0,36530043470.74108
contribution,16,TAM,1,21884041455.0,21612706434.979343
contribution,16,TLA,2,9213248824.642857,21036689420.96405
contribution,16,VER,3,48435565055.07143,10781997184.384804
contribution,16,YUC,2,14341366628.785715,10669961867.916447
contribution,16,ZAC,3,14743238610.142857,27491837692.132893
contribution,10,AGU,1,9336922659.571428,10350486385.293915
contribution,10,BCN,1,16576808139.142857,30383144134.20984
contribution,10,BCS,1,6580076392.642858,25513537284.19167
contribution,10,CAM,2,8954496427.071428,18519201113.04855
contribution,10,CHH,2,22368281589.785713,13263035366.148367
contribution,10,CHP,3,41098458356.57143,33473031254.214657
contribution,10,CMX,1,23100160914.285713,16263499642.062439
contribution,10,COA,1,18067012159.214287,14411561158.963238
contribution,10,COL,1,6656719625.214286,26087769790.272877
contribution,10,DUR,2,14948262080.642857,30759974230.04662
contribution,10,GRO,3,31661520029.714287,22720529077.15463
contribution,10,GUA,3,29375635618.357143,30396800089.89259
contribution,10,HID,3,21073603654.642857,27496713492.887283
contribution,10,JAL,1,36641947998.71429,33561137194.274372
contribution,10,MEX,2,74129558118.35715,11085829323.462852
contribution,10,MIC,3,30686860735.857143,9057528999.958387
contribution,10,MOR,2,12111062145.428572,23304892941.14061
contribution,10,NAY,3,10231420445.928572,29696941215.68739
contribution,10,NLE,1,26771552124.0,26957729141.784466
contribution,10,OAX,3,36777032731.92857,26055377757.720913
contribution,10,PUE,3,37077014497.07143,9565443256.549286
contribution,10,QUE,2,12092164282.214285,11100890409.505316
contribution,10,ROO,2,10153184225.0,13762593766.209356
contribution,10,SIN,1,21276561968.42857,23942051973.4412
contribution,10,SLP,3,19290563216.857143,27035675734.603584
contribution,10,SON,1,18298585741.285713,25980258545.097656
contribution,10,TAB,2,18836130125.0,35439785664.78216
contribution,10,TAM,1,21884041455.0,8197133842.087263
contribution,10,TLA,2,9213248824.642857,13555142832.646946
contribution,10,VER,3,48435565055.07143,31564156186.01692
contribution,10,YUC,2,14341366628.785715,28054835177.72354
contribution,10,ZAC,3,14743238610.142857,35232369595.491325
contribution,15,AGU,1,9336922659.571428,34954066198.04115
contribution,15,BCN,1,16576808139.142857,30303897957.30124
contribution,15,BCS,1,6580076392.642858,34555470781.35968
contribution,15,CAM,2,8954496427.071428,30750060154.288128
contribution,15,CHH,2,22368281589.785713,19048331127.57547
contribution,15,CHP,3,41098458356.57143,13782412970.550013
contribution,15,CMX,1,23100160914.285713,35167092213.589134
contribution,15,COA,1,18067012159.214287,21837050926.883575
contribution,15,COL,1,6656719625.214286,22910486967.388874
contribution,15,DUR,2,14948262080.642857,36907311942.81444
contribution,15,GRO,3,31661520029.714287,17392303842.901966
contribution,15,GUA,3,29375635618.357143,9636315065.511675
contribution,15,HID,3,21073603654.642857,20164754675.898556
contribution,15,JAL,1,36641947998.71429,15964910303.119553
contribution,15,MEX,2,74129558118.35715,8723373334.297226
contribution,15,MIC,3,30686860735.857143,14079052545.44538
contribution,15,MOR,2,12111062145.428572,8013699914.821776
contribution,15,NAY,3,10231420445.928572,31831999941.44439
contribution,15,NLE,1,26771552124.0,12575000923.617926
contribution,15,OAX,3,36777032731.92857,14094866161.114143
contribution,15,PUE,3,37077014497.07143,23214581646.57885
contribution,15,QUE,2,12092164282.214285,28580114687.7612
contribution,15,ROO,2,10153184225.0,10955161529.159367
contribution,15,SIN,1,21276561968.42857,31774775152.224403
contribution,15,SLP,3,19290563216.857143,35520016312.134254
contribution,15,SON,1,18298585741.285713,23807663204.151352
contribution,15,TAB,2,18836130125.0,33483226528.72945
contribution,15,TAM,1,21884041455.0,13683993818.411919
contribution,15,TLA,2,9213248824.642857,36860925698.0097
contribution,15,VER,3,48435565055.07143,8284203963.507639
contribution,15,YUC,2,14341366628.785715,30221795064.472916
contribution,15,ZAC,3,14743238610.142857,13710141023.465069
contribution,12,AGU,1,9336922659.571428,16357333614.2772
contribution,12,BCN,1,16576808139.142857,14574631675.000114
contribution,12,BCS,1,6580076392.642858,14689153514.716188
contribution,12,CAM,2,8954496427.071428,21634955568.21798
contribution,12,CHH,2,22368281589.785713,9294644924.43413
contribution,12,CHP,3,41098458356.57143,34323551557.591114
contribution,12,CMX,1,23100160914.285713,13970860160.56617
contribution,12,COA,1,18067012159.214287,11161882938.109774
contribution,12,COL,1,6656719625.214286,12565213918.144634
contribution,12,DUR,2,14948262080.642857,24332881841.407337
contribution,12,GRO,3,31661520029.714287,30692294734.508503
contribution,12,GUA,3,29375635618.357143,12860953415.741
contribution,12,HID,3,21073603654.642857,35423708122.505
contribution,12,JAL,1,36641947998.71429,20887576145.81405
contribution,12,MEX,2,74129558118.35715,36812015365.5221
contribution,12,MIC,3,30686860735.857143,27521192177.883316
contribution,12,MOR,2,12111062145.428572,36436049569.00307
contribution,12,NAY,3,10231420445.928572,9812684124.492994
contribution,12,NLE,1,26771552124.0,31379034543.69246
contribution,12,OAX,3,36777032731.92857,31233236676.147182
contribution,12,PUE,3,37077014497.07143,16907453124.229454
contribution,12,QUE,2,12092164282.214285,29482970178.790073
contribution,12,ROO,2,10153184225.0,31147427922.3788
contribution,12,SIN,1,21276561968.42857,22911359213.392044
contribution,12,SLP,3,19290563216.857143,29893404886.197475
contribution,12,SON,1,18298585741.285713,20009565997.687664
contribution,12,TAB,2,18836130125.0,11531292779.610212
contribution,12,TAM,1,21884041455.0,26152351190.716118
contribution,12,TLA,2,9213248824.642857,27714030611.14022
contribution,12,VER,3,48435565055.07143,20898321466.073112
contribution,12,YUC,2,14341366628.785715,9486742573.398396
contribution,12,ZAC,3,14743238610.142857,30690282045.182243
