type,sdg,state,cluster,emp_bud,opt_bud
contribution,all,AGU,1,9336922659.571428,20251696349.401478
contribution,all,BCN,1,16576808139.142857,10004082482.737885
contribution,all,BCS,1,6580076392.642858,32604061726.36734
contribution,all,CAM,2,8954496427.071428,29003864671.982964
contribution,all,CHH,2,22368281589.785713,18391845531.141293
contribution,all,CHP,3,41098458356.57143,25156914199.79266
contribution,all,CMX,1,23100160914.285713,12163191191.083954
contribution,all,COA,1,18067012159.214287,16314816466.012083
contribution,all,COL,1,6656719625.214286,21496206407.507553
contribution,all,DUR,2,14948262080.642857,30236946315.437603
contribution,all,GRO,3,31661520029.714287,15655668002.26559
contribution,all,GUA,3,29375635618.357143,27164853962.159332
contribution,all,HID,3,21073603654.642857,31211189493.68559
contribution,all,JAL,1,36641947998.71429,8603674383.075733
contribution,all,MEX,2,74129558118.35715,12004793420.009697
contribution,all,MIC,3,30686860735.857143,30409092574.246944
contribution,all,MOR,2,12111062145.428572,18312395327.893513
contribution,all,NAY,3,10231420445.928572,28174957645.03449
contribution,all,NLE,1,26771552124.0,21346496505.005417
contribution,all,OAX,3,36777032731.92857,17153691641.421837
contribution,all,PUE,3,37077014497.07143,27260742969.694824
contribution,all,QUE,2,12092164282.214285,26316638381.4768
contribution,all,ROO,2,10153184225.0,34773002232.20948
contribution,all,SIN,1,21276561968.42857,10743626867.466412
contribution,all,SLP,3,19290563216.857143,30974274014.410637
contribution,all,SON,1,18298585741.285713,19075801219.8088
contribution,all,TAB,2,18836130125.0,14364717908.716364
contribution,all,TAM,1,21884041455.0,31200293218.42698
contribution,all,TLA,2,9213248824.642857,25528659700.15458
contribution,all,VER,3,48435565055.07143,18905693989.94193
contribution,all,YUC,2,14341366628.785715,26309790211.330055
contribution,all,ZAC,3,14743238610.142857,31675377566.670258
contribution,1,AGU,1,9336922659.571428,12731358622.524267
contribution,1,BCN,1,16576808139.142857,26592938195.06104
contribution,1,BCS,1,6580076392.642858,16963597490.73032
contribution,1,CAM,2,8954496427.071428,30087338637.90332
contribution,1,CHH,2,22368281589.785713,8733248823.845848
contribution,1,CHP,3,41098458356.57143,24607911726.14643
contribution,1,CMX,1,23100160914.285713,8177976564.089964
contribution,1,COA,1,18067012159.214287,20062321708.79582
contribution,1,COL,1,6656719625.214286,15425316469.268612
contribution,1,DUR,2,14948262080.642857,15896095534.07111
contribution,1,GRO,3,31661520029.714287,27001585613.62327
contribution,1,GUA,3,29375635618.357143,12612568550.404543
contribution,1,HID,3,21073603654.642857,33422696714.555447
contribution,1,JAL,1,36641947998.71429,32841302398.041603
contribution,1,MEX,2,74129558118.35715,24670087947.69528
contribution,1,MIC,3,30686860735.857143,26563531493.839607
contribution,1,MOR,2,12111062145.428572,25765733251.0835
contribution,1,NAY,3,10231420445.928572,30756175190.239334
contribution,1,NLE,1,26771552124.0,11377161480.392572
contribution,1,OAX,3,36777032731.92857,31223241670.746075
contribution,1,PUE,3,37077014497.07143,22130507489.394344
contribution,1,QUE,2,12092164282.214285,23397885607.39485
contribution,1,ROO,2,10153184225.0,23648163308.899235
contribution,1,SIN,1,21276561968.42857,16184881598.62978
contribution,1,SLP,3,19290563216.857143,28152228988.704807
contribution,1,SON,1,18298585741.285713,10330946549.52918
contribution,1,TAB,2,18836130125.0,26244049611.307972
contribution,1,TAM,1,21884041455.0,16267660956.43301
contribution,1,TLA,2,9213248824.642857,33639700381.931973
contribution,1,VER,3,48435565055.07143,33602811962.653496
contribution,1,YUC,2,14341366628.785715,20509128473.953606
contribution,1,ZAC,3,14743238610.142857,33168903564.680065
contribution,2,AGU,1,9336922659.571428,23174479834.045586
contribution,2,BCN,1,16576808139.142857,7728322221.771165
contribution,2,BCS,1,6580076392.642858,28462940717.878014
contribution,2,CAM,2,8954496427.071428,33556782492.042828
contribution,2,CHH,2,22368281589.785713,10592384079.579733
contribution,2,CHP,3,41098458356.57143,33571830247.015827
contribution,2,CMX,1,23100160914.285713,22343466106.592575
contribution,2,COA,1,18067012159.214287,17732405357.57195
contribution,2,COL,1,6656719625.214286,30329270346.920486
contribution,2,DUR,2,14948262080.642857,28956768403.321217
contribution,2,GRO,3,31661520029.714287,8163757998.922825
contribution,2,GUA,3,29375635618.357143,35973194598.33143
contribution,2,HID,3,21073603654.642857,17303304716.132954
contribution,2,JAL,1,36641947998.71429,35809516728.05432
contribution,2,MEX,2,74129558118.35715,13841952774.715475
contribution,2,MIC,3,30686860735.857143,25185225067.69092
contribution,2,MOR,2,12111062145.428572,10498851964.559706
contribution,2,NAY,3,10231420445.928572,32398512228.211174
contribution,2,NLE,1,26771552124.0,16563717580.584627
contribution,2,OAX,3,36777032731.92857,12545515536.006468
contribution,2,PUE,3,37077014497.07143,33185384476.275105
contribution,2,QUE,2,12092164282.214285,34891474208.44213
contribution,2,ROO,2,10153184225.0,26277909157.62626
contribution,2,SIN,1,21276561968.42857,13871245123.018332
contribution,2,SLP,3,19290563216.857143,21166925516.528927
contribution,2,SON,1,18298585741.285713,15414955826.20071
contribution,2,TAB,2,18836130125.0,28177998478.210857
contribution,2,TAM,1,21884041455.0,23559729984.632046
contribution,2,TLA,2,9213248824.642857,29728554938.836864
contribution,2,VER,3,48435565055.07143,11459044341.026764
contribution,2,YUC,2,14341366628.785715,25385434819.49459
contribution,2,ZAC,3,14743238610.142857,14938200706.3282
contribution,3,AGU,1,9336922659.571428,23172217520.253704
contribution,3,BCN,1,16576808139.142857,15796372007.830902
contribution,3,BCS,1,6580076392.642858,31468772196.616898
contribution,3,CAM,2,8954496427.071428,8520900550.319682
contribution,3,CHH,2,22368281589.785713,15436427626.666323
contribution,3,CHP,3,41098458356.57143,30751508064.67229
contribution,3,CMX,1,23100160914.285713,11688149765.05537
contribution,3,COA,1,18067012159.214287,28805574984.513027
contribution,3,COL,1,6656719625.214286,20220159205.718937
contribution,3,DUR,2,14948262080.642857,26591875418.557823
contribution,3,GRO,3,31661520029.714287,31589942352.398228
contribution,3,GUA,3,29375635618.357143,24417189645.449516
contribution,3,HID,3,21073603654.642857,24839638286.189636
contribution,3,JAL,1,36641947998.71429,10749057892.64443
contribution,3,MEX,2,74129558118.35715,25842424120.952354
contribution,3,MIC,3,30686860735.857143,29927444732.141693
contribution,3,MOR,2,12111062145.428572,27129874663.061153
contribution,3,NAY,3,10231420445.928572,21418884721.05153
contribution,3,NLE,1,26771552124.0,16681102963.435192
contribution,3,OAX,3,36777032731.92857,12040629285.647028
contribution,3,PUE,3,37077014497.07143,18271601824.788685
contribution,3,QUE,2,12092164282.214285,30915605245.513935
contribution,3,ROO,2,10153184225.0,30634075435.00305
contribution,3,SIN,1,21276561968.42857,30967309252.076084
contribution,3,SLP,3,19290563216.857143,32194667645.144825
contribution,3,SON,1,18298585741.285713,25699467397.934425
contribution,3,TAB,2,18836130125.0,15898221791.91158
contribution,3,TAM,1,21884041455.0,8711303150.02117
contribution,3,TLA,2,9213248824.642857,26216148143.791153
contribution,3,VER,3,48435565055.07143,12010133537.513145
contribution,3,YUC,2,14341366628.785715,24101841294.09972
contribution,3,ZAC,3,14743238610.142857,30080535855.59686
contribution,4,AGU,1,9336922659.571428,20263066375.434204
contribution,4,BCN,1,16576808139.142857,10560117159.91831
contribution,4,BCS,1,6580076392.642858,32563983316.433308
contribution,4,CAM,2,8954496427.071428,24103547070.875454
contribution,4,CHH,2,22368281589.785713,18927721754.364933
contribution,4,CHP,3,41098458356.57143,11835154324.641493
contribution,4,CMX,1,23100160914.285713,16291340018.491373
contribution,4,COA,1,18067012159.214287,15766596324.52883
contribution,4,COL,1,6656719625.214286,29664229990.94236
contribution,4,DUR,2,14948262080.642857,20695612544.19895
contribution,4,GRO,3,31661520029.714287,19563800677.549328
contribution,4,GUA,3,29375635618.357143,9550140818.737234
contribution,4,HID,3,21073603654.642857,26674934338.991962
contribution,4,JAL,1,36641947998.71429,38197663006.09129
contribution,4,MEX,2,74129558118.35715,29893101784.158543
contribution,4,MIC,3,30686860735.857143,36535012605.335175
contribution,4,MOR,2,12111062145.428572,22122115893.339897
contribution,4,NAY,3,10231420445.928572,30126295943.824417
contribution,4,NLE,1,26771552124.0,27495972330.98702
contribution,4,OAX,3,36777032731.92857,14186325874.571548
contribution,4,PUE,3,37077014497.07143,30101127219.55444
contribution,4,QUE,2,12092164282.214285,31968652428.551376
contribution,4,ROO,2,10153184225.0,29894194790.777523
contribution,4,SIN,1,21276561968.42857,16982654028.72634
contribution,4,SLP,3,19290563216.857143,20769754878.461872
contribution,4,SON,1,18298585741.285713,18551545942.874207
contribution,4,TAB,2,18836130125.0,25834869934.32496
contribution,4,TAM,1,21884041455.0,9991305794.701153
contribution,4,TLA,2,9213248824.642857,8844102779.112682
contribution,4,VER,3,48435565055.07143,15584666509.741068
contribution,4,YUC,2,14341366628.785715,28031537170.249447
contribution,4,ZAC,3,14743238610.142857,31217912946.079655
contribution,5,AGU,1,9336922659.571428,19869342790.898064
contribution,5,BCN,1,16576808139.142857,22837819679.10334
contribution,5,BCS,1,6580076392.642858,27659403067.898952
contribution,5,CAM,2,8954496427.071428,21576941048.81394
contribution,5,CHH,2,22368281589.785713,23234920773.780922
contribution,5,CHP,3,41098458356.57143,32175872705.285164
contribution,5,CMX,1,23100160914.285713,16492541440.905083
contribution,5,COA,1,18067012159.214287,30049702387.77488
contribution,5,COL,1,6656719625.214286,19126443234.600533
contribution,5,DUR,2,14948262080.642857,19024719916.450836
contribution,5,GRO,3,31661520029.714287,30085047309.10614
contribution,5,GUA,3,29375635618.357143,17318275902.274788
contribution,5,HID,3,21073603654.642857,10195524639.67945
contribution,5,JAL,1,36641947998.71429,23773662211.561424
contribution,5,MEX,2,74129558118.35715,13721879772.290657
contribution,5,MIC,3,30686860735.857143,10755410241.119291
contribution,5,MOR,2,12111062145.428572,19679813443.057354
contribution,5,NAY,3,10231420445.928572,10831280186.209373
contribution,5,NLE,1,26771552124.0,30634990679.323444
contribution,5,OAX,3,36777032731.92857,27173208170.7187
contribution,5,PUE,3,37077014497.07143,9073035754.950832
contribution,5,QUE,2,12092164282.214285,18210686092.616898
contribution,5,ROO,2,10153184225.0,33898025017.81706
contribution,5,SIN,1,21276561968.42857,16634967416.906542
contribution,5,SLP,3,19290563216.857143,30038787514.142372
contribution,5,SON,1,18298585741.285713,22178564949.03433
contribution,5,TAB,2,18836130125.0,27596624354.099277
contribution,5,TAM,1,21884041455.0,27034951627.6052
contribution,5,TLA,2,9213248824.642857,27287930207.807747
contribution,5,VER,3,48435565055.07143,29770322094.075832
contribution,5,YUC,2,14341366628.785715,19641663752.53697
contribution,5,ZAC,3,14743238610.142857,35206698194.1249
contribution,6,AGU,1,9336922659.571428,14012727108.891314
contribution,6,BCN,1,16576808139.142857,20902249780.86911
contribution,6,BCS,1,6580076392.642858,26865618594.27572
contribution,6,CAM,2,8954496427.071428,26769134775.86563
contribution,6,CHH,2,22368281589.785713,15245642257.527035
contribution,6,CHP,3,41098458356.57143,31357052757.718815
contribution,6,CMX,1,23100160914.285713,23628008270.07102
contribution,6,COA,1,18067012159.214287,20356903332.463696
contribution,6,COL,1,6656719625.214286,9172452260.943275
contribution,6,DUR,2,14948262080.642857,13813993821.794058
contribution,6,GRO,3,31661520029.714287,17986118149.42193
contribution,6,GUA,3,29375635618.357143,29880528301.701633
contribution,6,HID,3,21073603654.642857,22299685236.56987
contribution,6,JAL,1,36641947998.71429,24527253975.05496
contribution,6,MEX,2,74129558118.35715,19411440928.782043
contribution,6,MIC,3,30686860735.857143,29364421933.266747
contribution,6,MOR,2,12111062145.428572,17345754784.868336
contribution,6,NAY,3,10231420445.928572,16421234311.94266
contribution,6,NLE,1,26771552124.0,24047611094.178947
contribution,6,OAX,3,36777032731.92857,26142367625.261623
contribution,6,PUE,3,37077014497.07143,33514411119.52747
contribution,6,QUE,2,12092164282.214285,31849326192.766556
contribution,6,ROO,2,10153184225.0,22569599395.586845
contribution,6,SIN,1,21276561968.42857,33224263358.897785
contribution,6,SLP,3,19290563216.857143,21261018295.249786
contribution,6,SON,1,18298585741.285713,24488273617.475525
contribution,6,TAB,2,18836130125.0,30231969442.13558
contribution,6,TAM,1,21884041455.0,19291669065.20806
contribution,6,TLA,2,9213248824.642857,16114715908.397541
contribution,6,VER,3,48435565055.07143,12686583487.540524
contribution,6,YUC,2,14341366628.785715,25044221348.01734
contribution,6,ZAC,3,14743238610.142857,22962806044.298874
contribution,8,AGU,1,9336922659.571428,14762313416.661835
contribution,8,BCN,1,16576808139.142857,29108887584.342873
contribution,8,BCS,1,6580076392.642858,23727974886.254055
contribution,8,CAM,2,8954496427.071428,25514119442.361652
contribution,8,CHH,2,22368281589.785713,7855846384.745261
contribution,8,CHP,3,41098458356.57143,26800543144.077892
contribution,8,CMX,1,23100160914.285713,27407630124.33217
contribution,8,COA,1,18067012159.214287,10130683919.848827
contribution,8,COL,1,6656719625.214286,25848683892.962166
contribution,8,DUR,2,14948262080.642857,28943608236.26494
contribution,8,GRO,3,31661520029.714287,17796566439.4627
contribution,8,GUA,3,29375635618.357143,23577161886.207485
contribution,8,HID,3,21073603654.642857,17236560089.23651
contribution,8,JAL,1,36641947998.71429,22862990190.65227
contribution,8,MEX,2,74129558118.35715,14783056557.731382
contribution,8,MIC,3,30686860735.857143,30113511647.137703
contribution,8,MOR,2,12111062145.428572,19341820323.611355
contribution,8,NAY,3,10231420445.928572,31814746700.62441
contribution,8,NLE,1,26771552124.0,19072342532.25099
contribution,8,OAX,3,36777032731.92857,20864838276.246796
contribution,8,PUE,3,37077014497.07143,31127216383.902546
contribution,8,QUE,2,12092164282.214285,29724887534.563496
contribution,8,ROO,2,10153184225.0,28066306339.79319
contribution,8,SIN,1,21276561968.42857,18758321296.917984
contribution,8,SLP,3,19290563216.857143,23750597015.159096
contribution,8,SON,1,18298585741.285713,18126882662.582848
contribution,8,TAB,2,18836130125.0,23264596361.91891
contribution,8,TAM,1,21884041455.0,25828674234.038597
contribution,8,TLA,2,9213248824.642857,19831990362.302055
contribution,8,VER,3,48435565055.07143,12171964352.860796
contribution,8,YUC,2,14341366628.785715,24953507082.836887
contribution,8,ZAC,3,14743238610.142857,29620227274.680676
contribution,9,AGU,1,9336922659.571428,32088570043.45425
contribution,9,BCN,1,16576808139.142857,13868989303.912718
contribution,9,BCS,1,6580076392.642858,39623570563.78139
contribution,9,CAM,2,8954496427.071428,29517547894.58813
contribution,9,CHH,2,22368281589.785713,27223701408.970066
contribution,9,CHP,3,41098458356.57143,13617812352.743206
contribution,9,CMX,1,23100160914.285713,30128525465.959747
contribution,9,COA,1,18067012159.214287,13715026586.917513
contribution,9,COL,1,6656719625.214286,29464782463.948334
contribution,9,DUR,2,14948262080.642857,12132324026.119514
contribution,9,GRO,3,31661520029.714287,13046714844.788124
contribution,9,GUA,3,29375635618.357143,27675813143.884743
contribution,9,HID,3,21073603654.642857,14861309637.326958
contribution,9,JAL,1,36641947998.71429,10833752343.611877
contribution,9,MEX,2,74129558118.35715,25436987703.524734
contribution,9,MIC,3,30686860735.857143,26835501477.4115
contribution,9,MOR,2,12111062145.428572,22405219723.957195
contribution,9,NAY,3,10231420445.928572,30583455571.309395
contribution,9,NLE,1,26771552124.0,15009586681.527832
contribution,9,OAX,3,36777032731.92857,10033801093.02613
contribution,9,PUE,3,37077014497.07143,38525215285.9186
contribution,9,QUE,2,12092164282.214285,26230665743.4601
contribution,9,ROO,2,10153184225.0,18288583499.13086
contribution,9,SIN,1,21276561968.42857,8678821958.040234
contribution,9,SLP,3,19290563216.857143,34842050080.15456
contribution,9,SON,1,18298585741.285713,28356509970.482468
contribution,9,TAB,2,18836130125.0,21867782886.901
contribution,9,TAM,1,21884041455.0,39174804319.76439
contribution,9,TLA,2,9213248824.642857,9648017010.928526
contribution,9,VER,3,48435565055.07143,15226209758.861753
contribution,9,YUC,2,14341366628.785715,22625670004.724407
contribution,9,ZAC,3,14743238610.142857,21221733727.43982
contribution,11,AGU,1,9336922659.571428,35098796793.164696
contribution,11,BCN,1,16576808139.142857,34475071075.888405
contribution,11,BCS,1,6580076392.642858,32067321199.952663
contribution,11,CAM,2,8954496427.071428,22489928346.06378
contribution,11,CHH,2,22368281589.785713,17198223325.68866
contribution,11,CHP,3,41098458356.57143,33691939206.407375
contribution,11,CMX,1,23100160914.285713,11036598139.264227
contribution,11,COA,1,18067012159.214287,11638601662.81435
contribution,11,COL,1,6656719625.214286,18701164484.084637
contribution,11,DUR,2,14948262080.642857,18779364230.635723
contribution,11,GRO,3,31661520029.714287,36211772957.925674
contribution,11,GUA,3,29375635618.357143,23294374105.104885
contribution,11,HID,3,21073603654.642857,35515869496.80034
contribution,11,JAL,1,36641947998.71429,32368564761.485374
contribution,11,MEX,2,74129558118.35715,25611296859.891727
contribution,11,MIC,3,30686860735.857143,11398542837.650898
contribution,11,MOR,2,12111062145.428572,29127470755.02136
contribution,11,NAY,3,10231420445.928572,15954546891.545572
contribution,11,NLE,1,26771552124.0,34093597265.94153
contribution,11,OAX,3,36777032731.92857,10726873741.789606
contribution,11,PUE,3,37077014497.07143,9440770785.377558
contribution,11,QUE,2,12092164282.214285,12603892919.106218
contribution,11,ROO,2,10153184225.0,34004397786.45526
contribution,11,SIN,1,21276561968.42857,26523911952.99424
contribution,11,SLP,3,19290563216.857143,30111537187.862083
contribution,11,SON,1,18298585741.285713,8638840083.20177
contribution,11,TAB,2,18836130125.0,8265875499.677742
contribution,11,TAM,1,21884041455.0,18453742568.46388
contribution,11,TLA,2,9213248824.642857,19543383976.209972
contribution,11,VER,3,48435565055.07143,16447491084.725286
contribution,11,YUC,2,14341366628.785715,15110373962.441996
contribution,11,ZAC,3,14743238610.142857,34164920632.9327
contribution,16,AGU,1,9336922659.571428,11139433509.054369
contribution,16,BCN,1,16576808139.142857,22602491550.639683
contribution,16,BCS,1,6580076392.642858,10490642645.235228
contribution,16,CAM,2,8954496427.071428,30884957458.905685
contribution,16,CHH,2,22368281589.785713,39748523558.8626
contribution,16,CHP,3,41098458356.57143,34941027236.37124
contribution,16,CMX,1,23100160914.285713,11298365156.12111
contribution,16,COA,1,18067012159.214287,28773018172.705173
contribution,16,COL,1,6656719625.214286,24069521476.20701
contribution,16,DUR,2,14948262080.642857,34977799806.64467
contribution,16,GRO,3,31661520029.714287,26693013207.419445
contribution,16,GUA,3,29375635618.357143,27430412459.53705
contribution,16,HID,3,21073603654.642857,16291801944.420403
contribution,16,JAL,1,36641947998.71429,16885207977.760527
contribution,16,MEX,2,74129558118.35715,30455559782.959858
