countryCode,sdg,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ABW,1,0.0,0.0,0.0,1821944.0,,,,,,,,,,
ABW,2,0.0,0.0,0.0,0.0,,,,,,,,,,
ABW,3,0.0,81337.0,0.0,0.0,,,,,,,,,,
ABW,4,0.0,103363.0,0.0,0.0,,,,,,,,,,
ABW,5,0.0,0.0,0.0,0.0,,,,,,,,,,
ABW,6,0.0,0.0,0.0,0.0,,,,,,,,,,
ABW,7,0.0,0.0,0.0,0.0,,,,,,,,,,
ABW,8,0.0,413452.0,0.0,0.0,,,,,,,,,,
ABW,9,0.0,103363.0,0.0,364388.7,,,,,,,,,,
ABW,10,0.0,0.0,0.0,1821944.0,,,,,,,,,,
ABW,11,0.0,0.0,31555.0,728777.4,,,,,,,,,,
ABW,12,0.0,0.0,0.0,0.0,,,,,,,,,,
ABW,13,0.0,0.0,0.0,0.0,,,,,,,,,,
ABW,14,0.0,0.0,0.0,0.0,,,,,,,,,,
ABW,15,0.0,0.0,0.0,0.0,,,,,,,,,,
ABW,16,63884.0,206726.0,0.0,729948.4,,,,,,,,,,
ABW,17,0.0,0.0,0.0,728777.4,,,,,,,,,,
AFG,1,150083.578,2582638.1190000004,13294092.885,4717929.397117647,9805900.3,30277560.933745097,23087181.26314884,57125468.55071134,144478007.54394245,178899089.1149,108986461.91090003,71959836.50405599,60510876.48793,33002045.109419994
AFG,2,9462292.23,17935609.71,123785399.59678572,42134480.92,240693107.652,360305897.66415715,143291434.96190003,125314154.44460316,214716772.49513564,277453192.778,507928119.86999995,374394894.4800001,276019029.5183,221691527.213
AFG,3,9055217.28,31585736.650000002,38002094.29979999,128634885.834,80804075.26200001,192411322.53829998,313839891.186,204252294.267,455948974.09428173,197614678.935,384464089.91600007,272281517.6844,448218416.56400007,240032349.26200002
AFG,4,6864364.960000001,12262376.302517483,59125828.938084915,106931844.10714684,175269639.29728186,223295533.1156,132619139.4109143,234814742.42534932,384622032.72498506,359266238.2454892,570378804.0615599,361153280.7656099,383109611.54353005,524224876.9932401
AFG,5,298832.3,505011.6730000001,10500312.8767,6872311.831,9731368.189818181,20783641.167999998,4448242.113,24713382.176757574,90182784.37479912,95610703.50958,36087179.137940004,33996601.0464,21929002.585185006,55337154.33350003
AFG,6,5263713.0,2890568.0,31310208.067,80263824.8,31243690.7,37292576.183299996,80032955.27000001,30659578.48,74868412.84095237,46515348.537,80297213.63100001,131371228.22899999,75564123.40373,98926685.07000002
AFG,7,32730.0,144698.0,11039643.636500001,5115716.07,95127393.182,113378165.7683,70755757.969,141111944.7151111,208615938.60018182,55781876.629,387214154.8038,287940280.717,763358320.75,722169383.4209999
