stateAbbreviation,year,total,participations,contributions
NLE,2010,59343348959,20399459789,22098244356
OAX,2010,51711486000,11171921000,34534215000
PUE,2010,54491394200,18229291700,30675924500
QUE,2010,20840840995,7228712381,10727370647
ROO,2010,23018067844,5653696000,8401404000
SLP,2010,27761178000,8302809000,16544953000
SIN,2010,32447179760,11126028078,18076742176
SON,2010,38992613810,12927468519,18062184176
TAB,2010,35072192520,16502545817,16913194268
TAM,2010,40126596364,12603801912,20062111216
TLA,2010,17005539950,4568538312,8023591641
VER,2010,98322229388,25933957133,41789175413
YUC,2010,21768189629,7044006083,11877246833
ZAC,2010,23538033677,6034948558,13110117870
AGU,2011,16447824000,5384673000,9674186000
BCN,2011,33789101182,13257614718,15907944548
BCS,2011,11014313983,3343196847,4573623887
CAM,2011,16497592000,5773922000,8270369000
COA,2011,65497988578,11693223078,15357129463
COL,2011,11951209480,3407375154,6670026211
CHP,2011,69552471862,20011463220,36295870474
CHH,2011,44898928833,13220620549,19560994765
DUR,2011,22398797868,6069124432,14357838820
GUA,2011,54474415702,19055902585,29187551072
GRO,2011,43811817200,10743234400,31442064400
HID,2011,31852947441,9305078580,18986671721
JAL,2011,78279855165,31514956230,38508079625
MEX,2011,184527925800,60749643000,68923604700
MIC,2011,53751245849,14773153783,28418812115
MOR,2011,23701328000,7212581000,11525451000
NAY,2011,17627753637,4905001762,9834443874
NLE,2011,71685109267,23036443765,23442411863
OAX,2011,55909703000,12520161000,33249930000
PUE,2011,60603610610,19486090033,36688916782
QUE,2011,23029159646,7995945957,11962528650
ROO,2011,29908394067,6176524000,8840940000
SLP,2011,30411734000,9358117000,17976338000
SIN,2011,34699337023,11835439970,19597379957
SON,2011,46017766447,14582288854,19542298073
TAB,2011,38841502174,17339801528,18576698133
TAM,2011,39525939136,13430745151,19846124955
TLA,2011,16516005662,5535044253,8326353614
VER,2011,97610841829,28596119194,46139306961
YUC,2011,24157128064,7640225888,12961890803
ZAC,2011,25462774498,6620887777,14258126681
AGU,2012,18177450000,5675190000,10383269000
BCN,2012,36767964594,15849960732,14665259320
BCS,2012,11877937090,3420348206,7312175116
CAM,2012,18904627000,6482847000,9253319000
COA,2012,34958497022,11687764160,18177980655
COL,2012,12176319343,3444095108,7097268606
CHP,2012,70463278738,20803718277,42954828548
CHH,2012,51822018424,15424039197,21108816590
DUR,2012,22899907087,6429569119,14779395737
GUA,2012,56297359137,19693382792,31137335570
GRO,2012,48498804222,11452770400,33346803800
HID,2012,37656243100,10039816108,22995336703
JAL,2012,82381269116,31164894750,38567937947
MEX,2012,200597518800,60945940300,76450183500
