seriesCode,budget
lag_educ,328951.8278667921
school_atten,329656.92037120834
high_educ,92565.09394659137
vacc_child,150299.64380000785
mort_infan,146416.86766400666
mort_mater,153051.61876732978
atent_birth,151105.03923307493
house_space,13353.718390286938
own_house,31894.280580482642
lack_food,218614.12826582865
moder_pover,431382.7866753218
extre_pover,394986.52981101244
