group,sdg,statistic,per99,per95,min_nulls,max_nulls
Africa,1,7.580500963866898,1.6902616025730646,1.2576343077901886,-1.4404109441779052,2.2129328504798083
Africa,2,12.634512144624702,1.441880622022773,0.9238621610527215,-2.666024642598403,1.9190968075005406
Africa,3,16.76774709348848,1.7924826715735136,1.2577687179629966,-2.4502677169441256,2.4315730157908924
Africa,4,18.81318871814737,2.8548813759026457,1.930628083138593,-3.9779469745182903,3.758484758829351
Africa,5,5.081570861113633,1.4573068723342597,1.1273715807417086,-1.4267652173436298,1.9140268244756835
Africa,6,14.8636978916498,2.1433954353517564,1.521044835674413,-2.2123546929664744,2.718743734152735
Africa,7,7.796005787821276,2.067793827146326,1.3643364665052848,-2.6046615933133954,2.4537319127463726
Africa,8,1.6904388885605963,1.2890545359113312,1.0320940426349134,-0.7388951213184674,1.616914629527836
Africa,9,8.513529707224684,2.444212765129219,1.9761347738118265,-2.255754807233108,3.2689480535126445
Africa,11,9.138741947611225,1.3993794386876457,0.9427232649737066,-2.3951064215069606,1.6990940198207
Africa,13,2.1229957748546258,2.5893045240728436,2.1420954869181275,-1.2391294297758304,3.04139278067153
Africa,14,2.6741561552619895,0.5239720255335788,0.16482911000889058,-2.046467934220003,0.8353127842390896
Africa,15,9.692816323610204,2.3687320561276115,1.5358969779613745,-3.2959010816655856,2.9125846227618677
Africa,16,14.113370947770196,1.831859554669389,1.2188280138393,-2.5428331259944144,2.2149559746302465
Africa,17,20.76612599840668,2.57996125972332,1.889498483617259,-4.1571216026117845,3.329180647274668
E. Europe & C. Asia,1,2.4122595783022063,1.8595799706476697,1.4090118025671186,-2.501105085430897,2.944096761696843
E. Europe & C. Asia,2,5.155674837702056,0.7265266321400288,0.5020881149050146,-1.1590427850836242,1.2942026797922184
E. Europe & C. Asia,3,3.5443302344492027,1.0683849227552753,0.7677659196781322,-1.4106178777230678,1.611942419795771
E. Europe & C. Asia,4,4.615682903119775,1.7258839733390665,1.113798454866331,-3.0674341223696566,2.158322947274111
E. Europe & C. Asia,5,2.5828123579193716,1.57887806866293,1.2449759311689783,-1.4196867369023558,2.174498416280925
E. Europe & C. Asia,6,6.121829701082046,2.2971335542999234,1.507475964431019,-2.8467844175722377,3.4267869981362535
E. Europe & C. Asia,7,9.859660078340465,1.87481285521896,1.2985309068437554,-2.201575306220865,2.6206276763763205
E. Europe & C. Asia,8,-0.4538491985902436,1.1127016589367942,0.8765599928557148,-0.7141763741823662,1.6304016729246136
E. Europe & C. Asia,9,4.0808708414301265,1.112042312920474,0.6903983396642751,-3.1457593124604855,1.6965353273065409
E. Europe & C. Asia,11,6.1142154910664965,2.088455448153721,1.572732734269049,-1.9324369436972866,2.4720275997605605
