group,sdg,statistic,per99,per95,min_nulls,max_nulls
E. Europe & C. Asia,13,0.6046846784497506,1.202367473229169,0.8858471499287107,-1.487141090248364,1.7101905851554156
E. Europe & C. Asia,14,0.6773226260356496,1.352323561465516,0.693373142863048,-4.070281607175432,1.9896724632996918
E. Europe & C. Asia,15,1.025377363983365,1.5142636753381087,0.6125809330197254,-3.9931504123879153,2.744726514715295
E. Europe & C. Asia,16,5.39495505239457,2.392619242996636,1.8947875889334862,-1.3591551207811008,2.7893627334125557
E. Europe & C. Asia,17,-2.6595938816852414,2.8189231245434345,2.332328741566921,-1.3921518955078676,3.3508434646272893
MENA,1,1.6059157991906339,0.5537636831860426,-0.0672241118136799,-3.9880724277102355,1.2467132111678523
MENA,2,1.3372866630983662,1.4146533977022557,0.9983678963970731,-2.5484553355417296,1.7047294422135753
MENA,3,1.0256696276550534,1.3341171958583837,0.8727369547607225,-2.0229686379299787,1.8772820011124256
MENA,4,3.6939496159334215,2.0454732453498776,1.5746733619367763,-2.499168466671942,2.4678260554872304
MENA,5,1.234191468511238,1.09506032471356,0.6853832243578057,-2.7324374358993633,1.897044924510611
MENA,6,5.86527928049874,3.056618697742366,1.9887776672052555,-6.067210592834643,4.0430230910748985
MENA,7,6.637799187990793,1.9490578882173428,1.2338769180982423,-3.50151454143558,2.652603005492286
MENA,8,0.02163638767914705,1.453870966286594,1.0417029767840609,-1.843996883842706,1.9814130251764555
MENA,9,2.881667110170372,2.469888435121623,1.9773544069500855,-1.3934348279920172,3.323526676242484
MENA,11,1.8460715607072569,2.2078412803682004,1.7024107196879605,-1.8459103633510596,2.795762923384131
MENA,13,0.9748737239338072,1.392937440672188,1.0233353130826341,-2.0241634215589825,1.9071200251628566
MENA,14,0.36478655668932886,1.7322808387493904,1.434275065759284,-1.0722888955511114,2.0480547881275006
MENA,15,0.828295250859343,2.8007860361606713,2.1785276235143347,-3.1089253006230333,3.977365464913429
MENA,16,1.9727600932119373,1.0808792492610326,0.6959856896354635,-2.23204965097441,1.7839993193595454
MENA,17,2.143117294506808,2.616436964163811,1.7212943006225883,-4.421408815013876,4.198623268241369
LAC,1,5.64834402543525,0.9628519284651904,0.541562242795498,-1.8284616406505645,1.234606412437498
LAC,2,6.627466817105676,1.1869019820501554,0.749240441425803,-2.055943079073671,1.6142302093391359
LAC,3,5.661496118895888,1.2479271409891124,0.781766143853756,-2.379867874697047,1.690582844227403
LAC,4,4.198930574983739,3.0360586280700925,2.224948789694657,-3.3064326620776208,3.9561225075388857
LAC,5,3.716143592127685,1.7163986079708775,1.391503658607419,-0.9430811871530995,2.318329187174208
LAC,6,5.877453959683236,1.194548624026323,0.8313751259028419,-2.2238832131049615,1.9010386892373523
LAC,7,3.6577717121458244,1.607606760676819,1.07300311290416,-2.3479526006401854,2.4581319794903123
LAC,8,0.6150099001627203,1.4032892450376144,1.1255296616793067,-1.1192222899534774,1.949569814575313
LAC,9,1.1757961982480052,0.8445162465787603,0.4919965211274163,-2.724775703262469,1.3968387298948677
LAC,11,1.5424449176881094,2.2315796040280995,1.6507870361604007,-1.9895444552323638,2.914266510969288
LAC,13,7.001724306516855,1.727676558578882,1.1518416171968804,-2.945058933159806,2.878052341016579
LAC,14,-0.12545863463820256,1.0975983180781475,0.795922937142549,-0.9211713382162756,1.4375315347990887
LAC,15,1.0834595496759991,2.149667805275575,1.5789926102108989,-2.4106055397109745,2.9396924690138544
LAC,16,4.673966568301017,2.1640671284718276,1.5693507004066494,-2.0546266437298955,2.7372931872702186
LAC,17,6.831175319877604,2.120310773291009,1.4736261975622986,-4.012431568006078,3.011163131501622
East & South Asia,1,8.137727929586783,0.8652973043865116,0.5107769104669659,-1.777252943999263,1.1180296348802812
East & South Asia,2,6.387985783308699,1.0799389442246208,0.7719151328692073,-1.100044908794878,1.801892309450997
East & South Asia,3,11.338592271386206,1.2767272434648385,0.9266169708968318,-1.6303983838012277,2.0243768609510018
East & South Asia,4,17.659484617600448,2.4548202090114275,1.9026647439549635,-2.766972170576121,3.0856428790953023
East & South Asia,5,3.275054008573368,1.1765918397806483,0.8341639716898667,-1.4117857693238836,1.5580757027908183
East & South Asia,6,11.248160233934511,1.8177670704836664,1.2855809084703664,-1.936073911946854,2.514731270693965
East & South Asia,7,10.059801591975347,1.1759627408514182,0.8119912876369914,-1.6329697066193736,1.4629233425784574
East & South Asia,8,1.4623612780803474,1.6398965584386855,1.325161966882659,-0.9871933187352321,2.355184079251539
East & South Asia,9,6.043683507943421,1.5064395082493602,1.069118762115844,-1.5162159285269414,1.806222557525327
East & South Asia,11,12.102958806847221,2.064337393705398,1.5742361536038454,-1.7756441179605718,2.9672080845236057
East & South Asia,13,1.1694838050939396,1.6504162061649508,1.1791525051803897,-1.6317894132033248,2.0169211311117654
East & South Asia,14,0.35119038522344626,1.4007854468287217,1.0435624163945794,-0.9544532013194474,1.7206177282323825
East & South Asia,15,5.8296452890315384,1.2756032392412284,0.904697772694731,-1.8906786569493295,1.9988704191658324
East & South Asia,16,9.979347039733364,3.0036369170906005,2.281867589998946,-2.736030497378093,3.7231495265432573
East & South Asia,17,8.161178081684417,0.5358965542907336,0.02188905473586691,-3.4170912177055084,1.2602823054153922
OECD,1,0.7614961756219407,2.302779363453492,1.7658473830051369,-2.425418475966621,3.011032028793321
OECD,2,0.118208227623816,1.979791693673405,1.3364804381895894,-3.211915940225122,2.6805478801783433
OECD,3,0.006895345298016013,2.0753208037788986,1.2963510896685178,-4.223289496968994,2.944340446227674
OECD,4,0.3227325609122389,3.522067614111507,2.791429008900088,-3.21719409897198,4.704880847315501
OECD,5,0.18157165962303184,2.949239566073948,2.4155715915219,-1.7423854406282933,3.770230027829982
OECD,6,0.4176106517592178,1.2807068271769937,0.72894594298157,-3.759837525543027,1.9815111166886554
OECD,7,0.10034005108779435,3.530935253797815,2.7807100893332835,-3.050374983711289,4.71331913607469
OECD,8,0.24613511624648202,1.6523731985005672,1.1727531295050464,-2.7978133237307863,2.5043864580802873
OECD,9,0.6425594978359209,1.4728231399314657,1.094994200813305,-2.488100465884625,2.0989233117300015
OECD,10,0.44509843099929347,0.8358951358445861,0.4605433616959243,-3.2580169680845437,1.9643913833660323
OECD,11,0.8873796436617041,4.072406713726316,3.370498022498848,-2.7785881765727067,5.122360587509317
OECD,13,0.42267507606933896,2.6793760552548376,2.1157525680497935,-2.1022826779446606,3.8716447416731232
OECD,14,0.45591784606761,1.8253543615471646,1.3314959142009326,-2.666827174764435,2.509141362348464
OECD,15,0.286261698216742,3.6987750940208444,2.569262319617575,-4.625012415217363,5.435127531089562
OECD,16,0.8822538367467608,2.8888493603652896,2.105388332569876,-2.38403639929149,3.337414124037256
OECD,17,0.7402143418668355,2.8833929437016788,1.792601204043445,-6.6385853231339915,3.721446939831937
