index,countryCode,statistic,mean0,std0,p90,p95,p99,p05,min_val,max_val,aid,change_bud,elasticity
2,ARE,-0.5394980169274667,-0.12731255012284545,1.13094948801697,1.2576705882929717,1.6971054339015454,2.4058563361192404,-2.0138190125320157,-3.6719385857476796,3.9259622992912044,2.583060145190274,7.473281458414852e-05,-1.6218805047715281
115,SGP,-0.32302412672395947,0.5356305362469299,1.128755116661874,1.989177185499197,2.3447792644637886,3.1106389924061224,-1.3286861190483006,-3.2734735896114335,4.819055049850284,2.845499244475808,6.484305076879076e-05,6.001767115248828
109,QAT,-0.23940193012542357,-0.026781324546117143,0.6075052215693877,0.7594617697007066,0.9683128980987679,1.4203152162438415,-1.0164025478168985,-2.0015932314938976,1.9121446195957064,4.50221675336903,4.4810453211738124e-05,-6.365397889757653
13,BHS,-0.22174496246123518,-0.5370911491716545,1.9788821597757686,2.076610681600275,2.8170386258886517,3.945369534398668,-3.766546772271301,-6.760241058889603,5.66998251055851,114.14067976483722,0.0038305326110482443,-0.762894870095735
112,SAU,-0.19731710273345307,-6.762302114507079e-05,0.9574220165441162,1.2154630090910508,1.5896681376340562,2.1939200484802073,-1.6304713968484414,-3.2733961394775886,3.0998368448286007,2.098439054483434,4.48843573649707e-05,10.78055590541344
34,CYP,-0.14996358776630211,0.7506659669910282,1.0113721737651797,2.041783296108966,2.4452401588684105,3.13973487039286,-0.9495266827418861,-2.8820832891244605,4.422479306019881,63.67954147638117,0.0015859842103214856,-0.2085628960783172
88,MLT,-0.059677500077957545,1.213794815777606,1.3275232372724501,2.9588682218855373,3.3564445007941974,4.3234123431244535,-0.8663078752757903,-2.5173968225376684,5.2663006595417885,47.909169292250375,0.0011930904485568672,1.0147121163688293
140,VEN,0.003202446208473679,-0.013398847329827962,1.754365883727055,2.283967221363555,2.802220145221617,3.992169425373394,-2.986753474930127,-6.022574488610897,5.658700084150081,30.28352316370017,0.0021410070664422695,0.16366361717959044
84,MEX,0.00446669403339481,-0.486831627940109,0.6797215170785651,0.3943063760563161,0.6184502006162287,1.0080003308635066,-1.5823681675199044,-2.6051251345302164,1.6620691020790075,58.556826613990566,0.004310049204611249,0.00667222838640995
62,ISR,0.006563146559086351,-0.30689218897689796,0.8330475519156119,0.7838945913398557,1.0596838602976655,1.5989885202287182,-1.62813636193233,-2.8867061592375456,1.961121008653921,53.39959643006203,0.000603612528079301,0.45930541233126343
