sdg,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
1,30.80324192410145,32.90297120338738,35.57302547828116,43.15064202684467,48.53438022135615,48.91043405950064,52.53359615341649,59.16225855295007,73.63442203206264,69.57612909427561,69.57383446449289,75.67879730469544,74.44022686713711,77.7312456551411
2,110.7402154088658,118.2889167196357,127.88798380107002,155.13014522490164,174.48513158751098,175.8370763972184,188.86264532045382,212.69323769140314,264.7218684783231,250.13196799868632,250.12371861386347,272.0715675335636,267.6188038474483,279.45028997466113
3,171.6257373230419,183.32475220674038,198.2014341725641,240.42147161222502,270.417925864149,272.5131766628712,292.70026824697703,329.633038978987,410.2672700733087,387.6557696527759,387.6429847150958,421.6578702703635,414.75695493501536,433.09345105535493
4,224.3016834785492,239.59139919592414,259.0340822197903,314.2124349654418,353.4155014287753,356.153833620634,382.536814969916,430.8051154004303,536.1878747846577,506.6363769183729,506.6196679847972,551.0745161467366,542.0555487622119,566.019943689463
5,6.722734090201521,7.180994997960229,7.763727975896295,9.417524716480415,10.592512738265336,10.674585591625195,11.46533207808628,12.912021838715473,16.070537004740082,15.184824249306443,15.184323451828607,16.51671703255527,16.24640198830747,16.964658990350397
6,89.080909963567,95.15318623035778,102.87480413816466,124.78876303782395,140.35817286015336,141.44569534170722,151.92363714623505,171.09328428424348,212.94581055525728,201.2094995303478,201.20286361489516,218.85800674687476,215.27614410061412,224.7935497381424
7,121.01477418251478,129.26384956241455,139.75352515979097,169.52323439122762,190.67399064837417,192.15136989357353,206.38546069811355,232.42707298646306,289.28295846996264,273.3393962746949,273.33038150587043,297.31456801844985,292.4486736369567,305.37789376391686
8,71.1286298962709,75.97717366827679,82.1426708841162,99.64035779339285,112.07209866142799,112.94045512664545,121.3068003401568,136.6132306076425,170.031309212502,160.66019116285784,160.65489256886679,174.75203349517597,171.89201575838646,179.49139954826128
9,201.3901347952245,215.1180652393902,232.5747534560513,282.11685106713725,317.3154760484425,319.7740982071356,343.46216014154334,386.80004053229527,481.41835898781363,454.8854322331153,454.87043005242316,494.78438756175416,486.68667278264564,508.2031975355535
11,211.27956523144928,225.6816171428803,243.9955305853007,295.9704341949907,332.8975169955298,335.47687184469004,360.32815580537783,405.79417893665453,505.0588087882593,477.2229605489667,477.2072216736867,519.0811873364673,510.5858275233465,533.1589391591698
13,1.9252591672907928,2.056496101823036,2.223379395554566,2.6969943404452046,3.0334878607966074,3.0569919160212646,3.2834461981088303,3.69774976664304,4.602286551353738,4.348635792733016,4.34849237415923,4.730063758854072,4.652650832801676,4.858345548537859
14,3.9309540105187772,4.198910846093106,4.539649674365082,5.506666790133103,6.19371224136982,6.2417023310775015,6.70407196083697,7.549988345483279,9.396852685583431,8.878953857305495,8.878661028252978,9.657745522667355,9.49968542494042,9.919668605128825
15,17.382328928978804,18.567210217912177,20.07392700372281,24.34999066187123,27.38804452630177,27.60025243369472,29.644809803163554,33.38537680165515,41.55204661283046,39.26194406750159,39.26064920348202,42.705691528866694,42.006763838060785,43.86389209830975
16,423.8867766950076,452.78138065655503,489.524289178138,593.8006981910518,667.8869075408438,673.0618254831702,722.9205548084058,814.138302124126,1013.2913245261076,957.4447121298756,957.4131354787976,1041.424195955892,1024.3800928780424,1069.6681618912658
17,144.28889701482547,154.124472844292,166.63157152057462,202.1267293512844,227.34529718309582,229.1068128591976,246.07847004791714,277.128526034524,344.9191992034264,325.9092971548313,325.8985486238415,354.4954851638261,348.693759399025,364.10958712735965
