indicator,percentage
lag_educ,103.50786658487843
school_atten,109.06251572102221
high_educ,115.6260714078432
vacc_child,131.7289896963856
mort_infan,101.42548640751069
mort_mater,123.15736281675156
atent_birth,131.89211543663004
house_space,179.7430320472413
own_house,347.60756307051395
lack_food,293.11508064311414
moder_pover,258.92111438510216
extre_pover,269.7391412063288
