alpha,alpha_prime,beta,T,error_alpha,error_beta,GoF_alpha,GoF_beta,years
0.0008841716721357047,6.511142428584293e-05,1.3611248298050616,56.0,0.0005306791140280431,0.011411610671447359,0.9867755737504421,0.9870435861372213,14.0
0.000588908926458171,7.959754386793374e-05,1.0748402600962828,,3.412271580449655e-05,-0.0030031780705371824,0.9986994442066379,0.9965902781731892,
0.00044740314919124613,2.3771369769137812e-06,0.8166466628184839,,-0.0002236096437797791,-0.01064384850003497,0.9850926904146814,0.9823732445222351,
0.0022270828703864296,0.0012575867741125356,0.069344672860028,,0.0004317598602648909,0.0006761930124273285,0.9928040023289185,0.9864761397514534,
0.00032326047614174985,2.5803549016908592e-06,0.6267554008236683,,-5.897976541496819e-05,0.0010400112683564,0.994455902050993,0.9982776883453971,
0.0017071552562074822,0.00028933305691879787,1.3177013805837123,,0.0007306760313965377,0.003500852207118821,0.9906886344228615,0.9963148924135591,
0.0003545585239149165,9.588882186660424e-07,0.6337727034845348,,0.00013232420048003846,0.0026355509728377413,0.9852973110577737,0.9943368326203487,
0.0012556631711590903,7.264828233263114e-05,0.8113051898739106,,0.0006236470051461662,0.004560072024933359,0.9871260267623,0.9938568977902452,
0.0003948450391209295,6.188938521549017e-05,1.2971210783499172,,0.00013193159865165782,0.013212318890539865,0.9926836593649082,0.9860922959046948,
0.005850847283330875,1.1227886267492867e-05,0.8794617582610175,,-0.0017752244117263949,0.0015046490117137656,0.9916435568148787,0.997764521468311,
0.0019449259524620178,0.00010994329821770563,0.8560667536141157,,0.0012881372986850437,0.0027739395231730635,0.985663469129827,0.9970800636598178,
0.0003344500845643173,2.3370262195591876e-05,1.02496758247813,,-7.685661349354778e-05,-0.0020147246802240115,0.9945456596875547,0.9975174008679704,
0.0009457457746265344,4.170662874330905e-05,0.9517961305780314,,-0.0003725187231844451,0.004865943595208755,0.9898772086091183,0.9934448428251074,
0.0015652344601396202,2.3741814688086824e-05,0.617266327856379,,0.00039108809454257987,0.006776090728283002,0.993552331414298,0.9908715876199297,
3.2734911425289144e-06,0.0001520829755290564,0.5063018826610559,,-0.00014469656353932603,0.0016083904028174056,0.9710606872921348,0.9959399853909463,
0.005514144069578016,1.5574017887326027e-05,0.7052016732287633,,-0.0020595705097652406,0.0017142416224007473,0.987196275694177,0.9967935048789627,
0.0009325188624266134,8.424839997165033e-05,0.9685121072827497,,0.00018745130142361344,-0.0004980598026599337,0.995645070775007,0.9994757265235159,
0.0019666459119504097,9.054559547968551e-07,0.5966646977040468,,-0.002276941550714562,0.0033244928925217354,0.9544611689857088,0.9928564615532591,
0.0005989058930589484,7.479185123869808e-07,0.18850379800257744,,-6.81992867955783e-05,0.00024378971412797323,0.9965297677562929,0.9995962718109983,
3.532229274939217e-07,0.0012375964666277992,0.1260575785774783,,0.0013108301522704036,0.004273298252828739,0.9684869914262473,0.9892130335365488,
0.000306165741212784,7.079907023019666e-05,2.650632929756889,,0.0002820850622955451,0.006438682964809428,0.9777866114546621,0.992066077863268,
0.002023394556865932,0.0009379602826265025,2.2824537736225543,,0.0017537751755366537,0.006945639271921489,0.9819040038346262,0.9926888007663984,
0.00046592255670305357,0.0021599292859037405,1.0585155271434878,,-0.0006155466709909796,-0.00027781136814042373,0.9913773732053704,0.999150224050394,
0.0008962006124715732,6.64382003849332e-05,0.7915128130326028,,-0.0004894898763657674,0.005489419562415998,0.9878145412903717,0.9942216636185095,
3.509490436845866e-06,0.0003598627027850738,0.3889748464201424,,1.2356904768417998e-05,0.0017781294711206042,0.9989700496126668,0.9955115178398898,
0.0009264731030730133,3.2746823756626904e-05,0.9060411623254647,,-0.0009799777762102835,-0.00840086934715678,0.9770443247549712,0.9911569796345718,
0.0018595194565220355,7.450625603367578e-05,0.5720569008926245,,0.00021126106813296186,0.003554029819372806,0.9974969067756758,0.9962589159796076,
8.246703296965013e-08,3.9053545772136794e-05,0.3908382541587748,,6.206305186329253e-06,0.004334115701358776,0.9946664564804983,0.9906870241127828,
3.682995526278407e-05,0.00034659313656552996,0.2151595432284908,,1.302582754636461e-05,-0.001583898817733742,0.999050595659886,0.9938535269759586,
0.0005477608302321405,4.691574694813271e-05,2.148207601222671,,0.00026772737805025315,0.002219922837069954,0.9818597954179225,0.9958476263479267,
2.9437129605655384e-06,0.0002483080087927463,0.186612963464746,,0.00012887451142817863,0.0030405565117204714,0.9843250839006683,0.9923248088053658,
0.004108421851558481,0.0010002035596422814,2.9204613134078987,,0.002838843726283291,0.0017189724228836578,0.9813540641951837,0.9976842858551827,
0.00026667139106169974,1.0334342186324556e-07,0.257289054057824,,0.0003248339931484455,0.00916582356794915,0.9576303487197676,0.9828552940455627,
0.007881900134147789,0.00011204322029949834,0.4843816585817345,,0.004252286654196635,0.010650280242936239,0.9878137024869702,0.9887891786916461,
0.0012679154907183938,2.9556925096995215e-06,0.3645836114742762,,-0.0015410560415286684,-0.007684062179178164,0.9688651355352039,0.9896484136446304,
0.0004675354860411762,4.1013740037621866e-06,0.22113141616346002,,0.00018005352367977956,0.005939550564927676,0.9910732016023907,0.9937478415106025,
0.0005097479894381658,2.341794155659659e-06,0.18732126334525334,,-3.975359809205159e-05,0.0011854642816433447,0.9977881154324099,0.9982387387815584,
1.8138047034940512e-05,0.00014577519942513697,0.636113821596939,,0.00012245624646334274,0.0029242544883940624,0.9762550214614018,0.9910552215649123,
9.479838745434101e-05,0.0002512834662236984,0.4751513323638556,,0.00014863228416006624,0.0005509311616803403,0.985609599043977,0.9970766917951656,
0.006371260659542718,0.004823091152806796,3.381554111385459,,-0.004916124673332578,-0.0016759750162828047,0.984276685610038,0.9982358157723339,
0.0006661768453244499,0.004721039955622719,1.4140007028528372,,-0.0009281350830240287,-0.0017636533059626758,0.9934453737074574,0.9955480596160166,
0.0119445804154059,0.0018591770582480434,2.430725045907708,,-0.00985668093048575,-0.005754398000668348,0.9761766304188966,0.9914506086847213,
0.000376977959165873,0.00015415236472255593,0.06264619731223259,,-8.582688388669713e-05,-0.00018098434316837775,0.9877390165876148,0.9963803131366324,
0.0023812518889433864,1.013197825001824e-07,0.10682962570466348,,0.0007231559480949112,0.007224325335708159,0.9912968102526871,0.9892667166440907,
0.00015789306972419323,5.077069511560432e-07,0.12864800928795667,,-6.0072248572851095e-05,-0.012257246397456178,0.9910564521658414,0.9860834757059449,
0.0001793439424657404,8.654009349465721e-07,0.14162230722329736,,-5.6427588102023196e-05,-0.005103039138370624,0.9904674796002323,0.9915491071593863,
