alpha,alpha_prime,beta,T,error_alpha,error_beta,GoF_alpha,GoF_beta,years
1.427589753968307e-05,1.715427063283251e-09,0.03325789407916616,84.0,-5.822380493070156e-06,-0.002996341214017262,0.991984789035573,0.9952813524188705,21.0
3.149743611715203e-05,0.00018166640248754883,0.00913170039333283,,-6.935305896083044e-05,-0.0005463489742338346,0.9940926980119895,0.9970467623014387,
1.2393880402618084e-05,9.159999663463492e-10,0.026663128979455726,,-3.2625302501809728e-06,0.004621342413838159,0.9947070667290143,0.9927222954112785,
0.0003133225052069738,4.658187766791095e-10,0.030431891908303102,,-1.0968531565236361e-06,0.003778147116942354,0.9999290296721981,0.9944439012986142,
0.0017162232845561024,0.0010458732164372662,0.002839199140123497,,-0.0005119610636054039,-0.0005355766102478274,0.9931669600837315,0.9892884677950434,
0.0008227734771249784,3.966544694486973e-08,0.024876697031136905,,-0.00027230332890382236,0.0027963868638436473,0.9937137488236425,0.9961429146705605,
4.946897306360803e-05,1.0547224562127349e-10,0.026552254778048456,,-1.6760661256665088e-05,-0.0014378308576692422,0.9937893318354795,0.9980167850239045,
1.0618351283567207e-05,1.2675195403381955e-18,0.07270567666951087,,7.043790592908827e-06,0.005425277282017582,0.9794351296855802,0.9908046147762414,
3.072924394757174e-05,1.68763204816488e-10,0.03399706128767122,,-1.2288556335837697e-06,0.0038745691317504383,0.9992500891616504,0.994655766714827,
0.00013667894865041554,1.0017597327122869e-07,0.04890254681954747,,1.5504152104495184e-05,0.004803587136463783,0.9981493134749101,0.9946921689099848,
5.07407436805141e-09,0.0041941650576667365,0.024916151864228932,,-0.0036558725836018935,-0.00806262813943931,0.9822319575862443,0.9803350533184407,
4.854952967900953e-06,2.4105575242465944e-14,0.011780625843599643,,3.586023533008742e-06,0.0024326321834736986,0.9608444662886164,0.989423338332723,
0.00042018836289803665,1.0834814321420713e-11,0.016823006871245928,,-0.0004692068420116824,-0.012435461617316734,0.9709338932577327,0.9726693151267765,
0.005416700646970798,2.0825862075508457e-13,0.10800956672713587,,0.0026710099047421165,0.026954725328539375,0.9873592362060795,0.9669267173882953,
2.4469482350118136e-09,0.00013627546429806816,0.02589385278154686,,1.4256751940888712e-05,-0.0024549762273368136,0.9980550850875609,0.9932740377333238,
2.625269935033643e-09,1.332717016641172e-05,0.01883333010697547,,-1.5076944548275684e-05,-0.006835447546714113,0.9766899401149512,0.9833281767153315,
0.0010368606724444672,1.3139661879652862e-09,0.03124496453613188,,-0.0009905517015919019,-0.0019810364900672006,0.9800778480252728,0.9966423110337844,
0.00012822054058535408,1.681239127953179e-09,0.0339958593115527,,-9.843443522872253e-05,-0.015954213024791608,0.9857384351424138,0.9765379220223653,
0.0019502668347568808,1.0209232153332316e-10,0.020542337635178803,,0.0017904499391663276,0.005680361256842348,0.9692481141115893,0.98443736641961,
0.0004016374809599753,6.54824307965219e-09,0.029124451054492274,,9.414773810523247e-05,0.0038202805585799693,0.9946879310527263,0.9929903109016881,
