alpha,alpha_prime,beta,T,error_alpha,error_beta,GoF_alpha,GoF_beta,years
0.0008999839451376012,4.569758147073695e-09,0.048781835639371884,84.0,-0.00020425775608862162,-0.00022861301449095262,0.9952572287733771,0.9996125203144222,21.0
0.0006269030215251403,0.001344040351660842,0.007662230834095426,,0.00026256320835049696,0.0003230505760940319,0.9974814387446947,0.9935389884781194,
0.0011937370731540632,0.004077218140664396,0.009016194053005138,,0.00016306890903095006,0.003994047741298509,0.99945988296346,0.9579573921968578,
0.00035991575768589855,9.713356031487248e-07,0.0550743866606919,,-0.0002445151414511848,0.00809393803799141,0.9889077490667336,0.9914800652231669,
0.0016240791145419502,1.8012653732647109e-07,0.04095745770931241,,-7.301096534062523e-05,0.002985526583915432,0.9989119202163904,0.9940289468321691,
8.730705434493879e-07,3.3574820323810127e-16,0.009881256927969824,,3.425226047237828e-08,0.0004641154102952294,0.9965913592331855,0.9966848899264626,
3.5641149745885254e-05,5.197298922572733e-10,0.05658878432673931,,1.986047005853031e-06,0.00217589857792444,0.9989846666021999,0.9969987605821732,
6.038437091809804e-08,5.818072104119808e-13,0.021142331299410795,,-1.0548041484703674e-07,-0.010653486081937391,0.958517994047484,0.9786930278361252,
0.0010884835665665492,4.255550357501139e-06,0.08271468383073904,,0.0003924380522430937,0.007842147762028517,0.9942073862756811,0.9917451076189173,
2.2578429412712835e-06,5.505184534045961e-06,0.007402895895090891,,1.873487210923841e-07,0.0015941218354004194,0.9995329052853357,0.9832197701536798,
0.0005676237215903047,1.423284757665288e-06,0.07017733847281309,,0.00014937719476015854,-0.0019992824580141733,0.995624722754706,0.9976752529557975,
2.0791085308166844e-07,0.000837164224487984,0.027215106635621454,,0.0005389853314493598,0.0024805819455125944,0.987931165927938,0.9932038850807874,
6.212966434083607e-05,3.257246131105326e-09,0.04410742622663243,,2.368975434630105e-05,0.005785278045500664,0.9913611855081442,0.9893848109256869,
0.0030671300382348597,1.1695596797648136e-09,0.05056743508654156,,-0.0011046368108280635,-0.0007828679810830685,0.9930622431612203,0.9988487235572308,
0.0003271326307630175,3.0431488014425725e-07,0.0723329649582572,,1.8660703590134275e-06,0.0026198248097881738,0.9999090113657051,0.9972422896739072,
4.143521332799104e-06,0.0009718891047602161,0.03403505205178581,,-0.0005129077425453099,-0.003142298436119517,0.9905942390978237,0.9901803173871265,
3.56771542930474e-07,0.0023388636563678026,0.016114935437226984,,-0.001307347703697892,-0.005259665446194217,0.9900280816627778,0.9835635454806431,
