seriesCode,baseline_0,baseline_1,baseline_2,baseline_3,baseline_4,baseline_5,baseline_6,baseline_7,baseline_8,baseline_9,baseline_10,baseline_11,baseline_12,baseline_13,baseline_14,baseline_15,baseline_16,baseline_17,baseline_18,baseline_19,baseline_20,baseline_21,baseline_22,baseline_23,baseline_24,baseline_25,baseline_26,baseline_27,baseline_28,baseline_29,baseline_30,baseline_31,baseline_32,baseline_33,baseline_34,baseline_35,baseline_36,baseline_37,baseline_38,baseline_39,baseline_40,baseline_41,baseline_42,baseline_43,baseline_44,baseline_45,baseline_46,baseline_47,baseline_48,baseline_49,baseline_50,baseline_51,baseline_52,baseline_53,baseline_54,baseline_55,counter_0,counter_1,counter_2,counter_3,counter_4,counter_5,counter_6,counter_7,counter_8,counter_9,counter_10,counter_11,counter_12,counter_13,counter_14,counter_15,counter_16,counter_17,counter_18,counter_19,counter_20,counter_21,counter_22,counter_23,counter_24,counter_25,counter_26,counter_27,counter_28,counter_29,counter_30,counter_31,counter_32,counter_33,counter_34,counter_35,counter_36,counter_37,counter_38,counter_39,counter_40,counter_41,counter_42,counter_43,counter_44,counter_45,counter_46,counter_47,counter_48,counter_49,counter_50,counter_51,counter_52,counter_53,counter_54,counter_55
sdg1_320pov,0.7127027969973324,0.7134604524245589,0.7142146934720845,0.7149495863681563,0.7156913080235527,0.7164284771727383,0.7171849944733807,0.7179312686350233,0.7186707140373091,0.7194283694645246,0.7201564336012369,0.7209072602691081,0.721651258177612,0.7223929798330248,0.7231108008307154,0.7238365887143297,0.7245544097120193,0.7252608494441579,0.7259980185933234,0.7267272208566052,0.727479185651021,0.7282152166736465,0.7289455570634723,0.7296872787188863,0.730429000374286,0.7311855176749319,0.7319135818116537,0.7326507509608233,0.7333697100850857,0.7341091554873748,0.7348212858522892,0.7355277255844155,0.7362592041008069,0.7369610913267013,0.7377232992601428,0.7384786784342277,0.739226090722424,0.7399643979981517,0.7406833571224174,0.741401178120111,0.7421303803833923,0.7428584445201016,0.7436001661755126,0.744333920945012,0.7450619850817335,0.745817364255824,0.7465852628220552,0.7473451945023732,0.7480971592967913,0.748844571584986,0.7495919838731743,0.7503405342879276,0.7510720128043147,0.7518205632190657,0.7525827711525018,0.7533347359469269,0.7127027969973324,0.7134365517668537,0.7141703065363478,0.7148767462684834,0.7155991197724063,0.7163089738842128,0.7170404524005953,0.7177753452966618,0.7185147906989492,0.7192360260763256,0.7199572614536969,0.7206932924763185,0.7214304616254845,0.7221687689012214,0.722888866152028,0.723604410896625,0.7243199556412006,0.7250343622592413,0.725728282599227,0.7264108216736557,0.7271001895074153,0.7277998004802042,0.7284925826936375,0.7291614642493779,0.7298451414503527,0.7305401999169021,0.7312102195991956,0.7318938968001706,0.7325787121277088,0.7332532843162297,0.733927856504749,0.7346297437306486,0.7353122828050705,0.735994821879491,0.7367194716365378,0.737425911368659,0.7381403179866892,0.7388399289594672,0.7395520593243867,0.7402573609299511,0.7409649387886408,0.7416907266722377,0.7424085476699409,0.7431138492755085,0.7438225652607516,0.7445483531443537,0.7452536547499256,0.7459771663804111,0.7467018161374523,0.7474367090335137,0.7481556681577692,0.7488973898131759,0.7496231776967781,0.750339860567921,0.7510781678436556,0.751819889499061
sdg1_wpc,0.8515688216181955,0.8521411444159156,0.8529535085500094,0.8539123914219349,0.8548432175142553,0.8558005416761907,0.8567282503485776,0.8576824570905384,0.8586086070529503,0.8595519028250898,0.8605092269870199,0.8614649924389886,0.8624067295011377,0.8633484665633098,0.8642465597461352,0.865161798738698,0.8660848312811577,0.8670203335034029,0.8679496008857591,0.868888220527977,0.8698424272699518,0.8707576662625264,0.871702520744637,0.8725928203775786,0.8735158529200282,0.8744373267524984,0.8753463309051659,0.8762537763478405,0.8771596630805464,0.8780702259431838,0.8789776713858656,0.8798882342485079,0.8808019145310907,0.881696890293961,0.8826074531566,0.8835538663486926,0.8845065143807012,0.8854420166029555,0.8863401097857856,0.8872335268386775,0.8881129155017786,0.8890125673945841,0.8899449521968891,0.8908570737695038,0.8917894585718114,0.892698462724465,0.8936760501160949,0.894639609117933,0.8956062855397253,0.8965355529220816,0.897495994503959,0.8984252618863167,0.8993685576584596,0.9003071773006756,0.9012457969428888,0.9022420888542311,0.8515688216181955,0.8520834721467844,0.8528459575616294,0.8537876946238124,0.8546966987764634,0.8556119377690307,0.856558350961136,0.8575187925430033,0.8584698818650404,0.8594131776371801,0.8603595908292728,0.8613060040213825,0.8622461823735553,0.8631629800761035,0.8640860126185533,0.8650355432306003,0.8659429886732926,0.8668597863758207,0.8677719079484354,0.8686824708110755,0.8695618594741775,0.8704661874969158,0.8713362239001539,0.8722124951433068,0.8730638270268388,0.8739229524602441,0.8748054585433113,0.8756677013966692,0.8765392965098898,0.8773953045233498,0.8782700170565235,0.8791353773298469,0.8800038550231128,0.8808614217465447,0.8817688671892315,0.8826981345715815,0.8836055800142697,0.8845379648165742,0.8854750257488134,0.8863871473214255,0.8872821230842919,0.8881739814272134,0.8891141597794024,0.8900340749019002,0.8909399616346068,0.8918193502977061,0.8927532938099938,0.8936700915125353,0.89458221308515,0.8955099217575296,0.8964298368800173,0.8974121004015787,0.8983429264939067,0.899276870006193,0.9002186070683619,0.9011743725203125
sdg2_crlyld,0.04440000000000067,0.04444717195928055,0.0445628587860035,0.044704836201396675,0.044843626878769124,0.044978965256619124,0.04511881817999768,0.0452541565578479,0.045389760497198756,0.04552828561306904,0.045666279605936146,0.045803476914297966,0.04593961197665337,0.04606963912446857,0.046204977502317945,0.04634190924917798,0.046484417787574554,0.04662851969498087,0.04675615678928084,0.04689176072863206,0.047027364667984045,0.047169607644878195,0.04731185062177247,0.04745250022965635,0.04758969753801816,0.047738579552455564,0.047885868197882306,0.048030766789793594,0.04817832099672203,0.04832242290412852,0.048467852619043496,0.04861142340344634,0.04875233857283191,0.04889670604174004,0.04904107351064816,0.0491764118884978,0.049322107164914315,0.049460632280784685,0.04960154745017072,0.04973847919703071,0.04986585072982882,0.05000225135368539,0.05014927443761065,0.05027930158542651,0.0504114532252556,0.05055130614863429,0.05069354912552856,0.05083048087238891,0.05096900598825921,0.05110407880460725,0.05124260392047749,0.051375552244812044,0.05150717276163783,0.051636934347951524,0.051772803848804776,0.051908142226654526,0.04440000000000067,0.044444250782761735,0.04456843557753943,0.044713865292454885,0.04485079703931536,0.044988259909179075,0.045121739356516484,0.04526185784139748,0.04539135386620906,0.04553226903559478,0.04566574848293269,0.04580533584480992,0.0459441265221824,0.04607787153102165,0.04621666220839345,0.04635173502474135,0.04648415222607282,0.04661364825088492,0.0467444720832055,0.04688060714556017,0.04701328990839328,0.04715181502426351,0.04728901233262519,0.047429661940509064,0.04755783015781259,0.04769635527368334,0.04784258167310319,0.047975529997437455,0.04811591404381963,0.048263468250748454,0.04839508876757424,0.048536003936959976,0.048672935683819835,0.04881650646822292,0.04895157928457114,0.04908930771593619,0.04922438053228413,0.04935998447163556,0.04949665065699423,0.04963809694938345,0.04977077971221593,0.04990824258207919,0.05004809550545819,0.05018369944480996,0.050316647769144254,0.05045225170849563,0.05058573115583334,0.05071522718064579,0.050856142350031434,0.05098324832132806,0.05111566552265896,0.0512579084995535,0.051395105807915266,0.05153044418576486,0.05165914352607178,0.051783328320849704
sdg2_obesity,0.8709999999999876,0.8698300019289724,0.8685924389356166,0.8673864062393206,0.8661263216051908,0.8649563235341594,0.8637457865097161,0.8625847970949949,0.8613562427579533,0.8601907490150751,0.8589982293032519,0.8578057095914376,0.8566131898796316,0.8554296788241226,0.8542326547841645,0.852999596118962,0.8517530244692954,0.8505154614759304,0.849291411467033,0.8480178138484417,0.8468343027929355,0.8456417830811307,0.8444852979945526,0.8432837696264354,0.8420326936486079,0.8408086436397133,0.8395755849745079,0.8383740566063874,0.8371635195819628,0.8359574868856814,0.8347064109078637,0.8334778565708094,0.8322402935774527,0.8309847132714685,0.8297831849033539,0.8285276045973804,0.8273350848855626,0.8260434699543515,0.8248239242736067,0.8235818569520956,0.8223442939587322,0.8210977223090706,0.8198871852846431,0.8187532218388354,0.8175516934707191,0.816363678087056,0.8151351237500135,0.8139155780692662,0.8127320670137708,0.8115305386456432,0.8102749583396677,0.809010369377385,0.8078043366811049,0.8065983039848303,0.805383262632243,0.8041952472485916,0.8709999999999876,0.869816488944508,0.8685518999822239,0.8673413629577729,0.8660632610110253,0.864843715330292,0.863651195618467,0.86243615426589,0.8612211129133116,0.8600240888733504,0.8588180561770626,0.8575940061681664,0.8564059907845152,0.8552134710726962,0.8539488821104172,0.852688797476287,0.8514242085140029,0.8501506108953982,0.8488995349175738,0.8476980065494586,0.8465505301191869,0.8452724281724444,0.8440033348819991,0.8427477545760255,0.8415282088952803,0.8403266805271588,0.8391431694716562,0.8378470502122856,0.8366320088597087,0.8353764285537232,0.8341703958574525,0.8329688674893276,0.8317268001678148,0.8304441938929027,0.8292156395558591,0.8279060073120313,0.8266639399905116,0.8254083596845353,0.82416629236302,0.8229872856356735,0.8217587312986198,0.8205031509926477,0.819270092327448,0.8180505466467016,0.8168535226067377,0.8156474899104578,0.8144279442297219,0.8131588509392754,0.8119032706333039,0.8106702119680926,0.8094686835999753,0.8082581465755474,0.8070386008948036,0.8057695076043627,0.8045274402828484,0.8032718599768762
sdg2_snmi,0.267375886524825,0.26800101983425595,0.26879788942722804,0.2694694112730257,0.27014389408921835,0.2708055460336616,0.27151161253419126,0.27222853592619906,0.2729513812590289,0.2736752135819936,0.27443161657941045,0.27514163104047945,0.27588026821547196,0.2766119964595076,0.27733286781206823,0.2780330123717867,0.27875684469474094,0.2794727810966212,0.2801610817747161,0.2808256946895569,0.2814942555649507,0.2821707123614222,0.2828619740099152,0.28353152187543906,0.2841872518790695,0.2848607477051293,0.2855095687778187,0.28621070032766915,0.28690689692684007,0.28761592439777267,0.28831705594762186,0.28899153876381944,0.28961765906339837,0.29027733702756636,0.290943923922683,0.2916124847980709,0.2923057204268365,0.29299106013452375,0.29368133479289266,0.29437160945125224,0.2950352353759634,0.29573636692581357,0.2964394724559312,0.29715244788740636,0.29786246234847913,0.29855964593778517,0.2992815042804752,0.29998164884018996,0.30068771534071315,0.3014135216439471,0.30210478329245,0.3028078888225674,0.3035169162934994,0.30423877463618876,0.3049912296730684,0.3057436847099543,0.267375886524825,0.2679477223669534,0.26871596924600377,0.2693736732299082,0.2700323642039371,0.27068513323716337,0.2713665249843122,0.2720449557610458,0.2727056207153562,0.27339589537372294,0.27410196187424274,0.2748119763353119,0.2755052119640839,0.2761727858493292,0.27683739876418184,0.2774990507086259,0.2781814294459005,0.27886479517331836,0.27950177236438073,0.28011999674286586,0.2807628958747437,0.28141072995729277,0.28204079821740197,0.2826649445367052,0.28328711687573666,0.28392508105692915,0.28453442252420935,0.2851536338928345,0.285766923320647,0.28636639488656873,0.28700041110722047,0.28762159645611735,0.2882487037458312,0.2888797589960763,0.2895118012364609,0.2901695052203613,0.2908232612437165,0.2914868871684303,0.2921416301819301,0.2927983471756908,0.2934639470806738,0.2940851324295701,0.2947615892260353,0.29541830621980386,0.2960720622431675,0.29671002642435895,0.2973558865266371,0.2980392522540526,0.2987048521590307,0.299400061768074,0.3000765185645472,0.30073817050898455,0.3014146273054549,0.3020999670131401,0.30278925468136453,0.30345485458635135
sdg2_stunting,0.053236363636363915,0.05461811346774062,0.055965495254056925,0.05733006106290354,0.058698922877382605,0.06008282071157317,0.06149893858800953,0.06295372051513787,0.06439776242818533,0.06584610034686478,0.0672965862683609,0.06872344415887846,0.07014385804094701,0.07157501193709645,0.0729911298135332,0.0744008036815203,0.07581477355514057,0.0772287434287602,0.07856968120662801,0.07989987897041448,0.08122578072856881,0.08254523847827396,0.08386469622797896,0.08519489399176558,0.0865637558062449,0.08788750956158246,0.08922844733945137,0.09056938511731843,0.09189313887265713,0.09323192864770788,0.09453420237488473,0.09580855206544811,0.09712800981515356,0.09843457954796192,0.09979484935117561,0.10115726715720583,0.10254546099703087,0.10387565876081804,0.10525311258656113,0.10663271441512223,0.10798654020988639,0.10936184603281478,0.11070707981631407,0.112118901687119,0.11352857555510529,0.11492750940901227,0.11632644326291748,0.11772967312245736,0.11911571895946516,0.12051680081618721,0.12184699857997464,0.12320726838318785,0.12456109417795418,0.12591706797553465,0.12734822187168549,0.12878796777909912,0.053236363636363915,0.05456441339733475,0.0558688351273262,0.05715392483197208,0.05843686653380176,0.05974128826379182,0.06108867005010867,0.062446791850506334,0.06377484161147712,0.06516947945975077,0.06646101317284554,0.06778261892536751,0.06908489265254317,0.07041938642196208,0.07173884417166798,0.07307333794108702,0.0743713156626302,0.07566284937572472,0.07686631497335294,0.07811703663293917,0.07932694623901637,0.080609887940846,0.08180476152720922,0.08303400315863335,0.08428257681540305,0.08548174640739914,0.08672602405853708,0.0879574136927766,0.08914369526787562,0.09033856885423888,0.09156995848847947,0.09280779213116733,0.09399407370626661,0.09523405535177117,0.0965041090367034,0.09781282677232729,0.09904636440938373,0.10035078613937559,0.10159291578769639,0.10285222945854795,0.10413302315756066,0.1053429327636384,0.10662372646265106,0.10790666816448133,0.10917886985222888,0.11049617959911855,0.11183067336853722,0.11313079909289707,0.11443307282007227,0.1157632705838591,0.11706339630821873,0.11842581411424824,0.1197345318498734,0.12101532554888621,0.12240137138589521,0.12376808519755755
sdg2_trophic,0.9025000000000075,0.9022971231812277,0.9020954637644414,0.9018946159489856,0.9016876811235409,0.9014925145174092,0.9013066813266011,0.901124094541117,0.9009240583270006,0.9007207757075582,0.9005195220914336,0.900310558262665,0.9000991596298998,0.8998995292164487,0.8996905653876748,0.8994970219842131,0.8992945509660908,0.8990904567453137,0.8988750001058882,0.898664818875114,0.8984477390330224,0.8982371520015874,0.8980152025515016,0.8977989343107409,0.8975725210533341,0.897356658613232,0.8971476947844623,0.8969281801383754,0.8967175931069384,0.8965061944741703,0.8963004770507276,0.8960878610159609,0.8958752449811964,0.8956537013317778,0.8954463607056655,0.8952390200795606,0.8950341142574477,0.894819875020017,0.8946141575965733,0.8944129039804557,0.8942031285503498,0.8939905125155856,0.8937864182948068,0.8935843530773536,0.8933790414545786,0.8931854980511121,0.8929972300563094,0.8927980054435225,0.8925991866313988,0.8924023968226087,0.8921978968011645,0.8919860923677306,0.8917807807449504,0.8915685705108525,0.8913794909147131,0.891196092527901,0.9025000000000075,0.902285354961913,0.90207517373114,0.9018621518957031,0.9016454778542737,0.9014316444175041,0.9012125355720826,0.9009954557299877,0.9007868977018875,0.90057062946113,0.9003474626090396,0.900118614547637,0.8999019405062124,0.8996840490627906,0.8994661576193623,0.8992454255712776,0.8990267225265159,0.8988019324717719,0.8985828236263511,0.8983450479502867,0.8981145766862169,0.8978865402261411,0.8976629675733938,0.897433713711321,0.8972089236565769,0.8969731769838413,0.8967512275337564,0.8965325244890029,0.8962963720156057,0.8960565673362166,0.8958293424774745,0.895600494416067,0.895380979769979,0.895167957934548,0.8949419504777976,0.8947155372203887,0.8944968341756326,0.894274478924881,0.8940541526774608,0.8938281452207177,0.8935911811459887,0.893372478101233,0.8931464706444886,0.8929289850017266,0.8927001369403205,0.8924676366729182,0.8922473104254972,0.8920310421847395,0.8918314117712814,0.8916139261285245,0.8913891360737789,0.8911777374410136,0.8909570053929237,0.8907431719561595,0.8905370487320493,0.890318751487958
sdg2_undernsh,0.7748222847718931,0.77544334797247,0.7762162254583684,0.7769630776382104,0.7777504136274707,0.7784871448549637,0.7793135188033065,0.7800994089422303,0.7808809615301453,0.7816495014650335,0.7823891243931991,0.7831258556206872,0.7838929497052393,0.7846238975313818,0.7853736414118985,0.7861537481494814,0.7869309631863887,0.78765034420984,0.788329241423873,0.7890500682976644,0.7897463157157352,0.7904252129297681,0.7911156769464923,0.7918104785142258,0.7925269678370079,0.7932810492685336,0.7940452516524128,0.7947892121315828,0.7955100390053713,0.7962178532261353,0.7969386800999229,0.7976233607153005,0.7983094871810141,0.7989927219460564,0.7997063195681658,0.8004300381426257,0.801159540118431,0.8018890420942364,0.8026330025734086,0.8033943132566173,0.8041006816270396,0.8048070499974626,0.805545227075286,0.8063065377584973,0.8070692942920398,0.80778867531549,0.8085846864067691,0.8093084049812287,0.8100379069570397,0.8107963259395722,0.8115504073710956,0.8122914761495921,0.813036882479099,0.8137446966998628,0.8145291409884503,0.8153222603790564,0.7748222847718931,0.7754404562717976,0.7761641748462588,0.7768445179106266,0.7775017273696113,0.7781777328829768,0.7788855471037354,0.7795601067667577,0.7802737043888626,0.7810248941197142,0.7817312624901438,0.7824000387518212,0.78308038181619,0.7838012086899784,0.7844960102577118,0.7851402070636754,0.7858219959783809,0.786511014144769,0.7871132812909736,0.7878022994573632,0.7884103500049152,0.7890415341578472,0.789666934909434,0.7902879981100115,0.7909278573649646,0.7915315703615062,0.7921569711130925,0.7927982762183785,0.7934077726162634,0.7940302816671819,0.794687491126168,0.7953085543267441,0.7959686554864029,0.7966186356937061,0.7972686159010172,0.797972092570766,0.7986538814854699,0.7993486830532018,0.8000348095189175,0.8007137067329533,0.8013217572805003,0.8020180046985671,0.8026318386474608,0.8032904939567883,0.8039896330755304,0.8046063587250963,0.80527658083711,0.8059352361464311,0.8065852163537418,0.8073002598261826,0.8079791570402143,0.8086450416012189,0.8093268305159241,0.8100042818796244,0.8106831790936561,0.8113664138586967
sdg2_wasting,0.8650909090908975,0.8654714740550002,0.8657386999850734,0.8660535684294636,0.8663869923793991,0.86672442833055,0.8670749032856069,0.8674233722400725,0.8677979192023627,0.8681574211601287,0.8685149171173031,0.8688648905722115,0.8692274015308838,0.869579380986399,0.8699328649423635,0.8702833398974266,0.8706227818491759,0.8709802778063485,0.8713202212582495,0.8716616692106016,0.8719915826594951,0.8723235021089876,0.872653415557879,0.8729863380076714,0.8733212664580698,0.8736431559045525,0.8739620363501353,0.8742954603000828,0.874620358747466,0.8749432511942499,0.8752671466413355,0.8756000690911317,0.8759289795397225,0.8762639079901154,0.876603349941871,0.8769478068951252,0.877296777349736,0.8776256877983275,0.8779666342505308,0.8782965476994204,0.8786505331555363,0.8789889721069877,0.8793244020575339,0.8796738740122921,0.8800163249649493,0.8803492474147427,0.8806977163692027,0.8810562153266744,0.8814091977824914,0.8817581682370994,0.8821061356914084,0.8824445746428603,0.8827845180947606,0.8831364975502721,0.8834995100090997,0.88386803896958,0.8650909090908975,0.8654624470522913,0.8657126219772477,0.8660259859211858,0.8663323288629936,0.8666366658042126,0.8669625672518958,0.8672879671994366,0.8676098566459219,0.8679397700948117,0.8682591520405467,0.868581041487029,0.8689124594363684,0.869226826380599,0.8695487158270787,0.8698726112741646,0.8701899872192953,0.870510873665478,0.8708142076063927,0.8711270700501675,0.871427896490331,0.8717452724354576,0.8720455973754687,0.8723499343166852,0.8726402292536877,0.8729325301912902,0.8732383716329621,0.8735402010734236,0.873850556016445,0.8741438599543497,0.8744421788937616,0.8747515308364824,0.8750573722781482,0.8753657212205682,0.8756740701629873,0.8759879356070612,0.8763113295540008,0.8766211829968708,0.8769415679429018,0.8772639588895375,0.8775723078319566,0.8778901852772352,0.8782015432205581,0.8785214266664385,0.8788443191132244,0.8791606920580511,0.8794830830046876,0.8797989544493652,0.8801298708985572,0.8804422318421815,0.8807555957861068,0.8810709657306338,0.8813873386754617,0.8817192581249532,0.8820486700736968,0.8823790850227379
sdg3_fertility,0.4931181818181901,0.4960489526620139,0.49871309598912394,0.5014992552984667,0.5043125292705328,0.5071167650216897,0.5100520549759918,0.5129873449302822,0.5159949406518193,0.5190206128151865,0.522086956972628,0.5250222469269301,0.5280072470962138,0.5310555148118463,0.5339817665452313,0.5368854227263602,0.5398704228956354,0.542787636408118,0.5456551397056214,0.5485813914390099,0.5515121622828588,0.5544293757953386,0.5572562070987638,0.560069481070818,0.5628420830488033,0.5656372805790518,0.5684279589988431,0.5711553698722976,0.5739505674025402,0.5766824973864483,0.5794370229226112,0.5822005866796911,0.5849912650994821,0.5877412715252004,0.5905997366017899,0.5934220487947538,0.596226284545912,0.599053115849328,0.6018392751586744,0.6046525491307332,0.6076149537477543,0.6104101512779995,0.6132324634709685,0.6161451578729972,0.6190488140541192,0.6218846835784484,0.6247883397595694,0.6277868972602162,0.6307628592085877,0.6337117064942481,0.6366379582276381,0.6395099806355924,0.6424362323689833,0.6453805605441839,0.6483971944866436,0.6514138284290956,0.4931181818181901,0.4959947233365753,0.49847810224555683,0.5011648411249294,0.5038560991147588,0.5066061055404757,0.5094781279484325,0.5124269752340839,0.5153441887465567,0.5182071729336081,0.5211198673356394,0.523906026644986,0.5267464152797661,0.5295325745891117,0.5322780619043682,0.5350958549868846,0.5378955716275801,0.5405642340651352,0.5432735684967765,0.5459467500447845,0.5485792595987212,0.5511439824958495,0.5537493773870665,0.5563321767260091,0.5590189156053826,0.561642386938409,0.5642613391609765,0.5667763518431298,0.5693772276238835,0.5719690651837414,0.5745383071913239,0.5771391829720881,0.5797807307469232,0.5824900651785614,0.5852084378311037,0.5878409473850308,0.5905728773689386,0.593295769131932,0.5959056831336028,0.5986602086697672,0.6013921386536725,0.6041331068584791,0.6068108075169449,0.609538218390395,0.612229476380214,0.6150337121313719,0.617833428772069,0.6206467027441342,0.6233786327280336,0.6262235404732689,0.629041333555781,0.6318500884173873,0.6346136521744644,0.6374450025883347,0.6402492383394935,0.6431890474042399
